,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
17:21:48.370,126989.0,0.25,0.1,1000.0,30.0,3.4,18000.0,1000.0,18788.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:21:52.410,207923.0,0.25,0.1,1000.0,30.0,0.4,500.0,1000.0,30997.0,520.0,0.0,2000.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:21:56.470,269857.0,0.25,0.1,1000.0,30.0,2.9,18000.0,1000.0,27217.0,1650.0,0.0,200.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:00.496,264916.0,0.25,0.1,1000.0,30.0,3.4,10800.0,1000.0,0.0,0.0,0.0,2000.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:04.011,37284.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,25723.0,280.0,0.0,1000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:08.029,53490.0,0.25,0.1,1000.0,30.0,1.8,6800.0,1000.0,32000.0,3000.0,0.0,550.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:12.043,51263.0,0.25,0.1,1000.0,30.0,3.1,18000.0,1000.0,10766.0,3000.0,0.0,1600.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:16.068,150586.0,0.25,0.1,1000.0,30.0,0.9,1500.0,1000.0,32000.0,70.0,0.0,950.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:20.100,270440.0,0.25,0.1,1000.0,30.0,4.0,3800.0,1000.0,14926.0,0.0,0.0,2000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:24.189,200.0,0.25,0.1,1000.0,30.0,0.0,13300.0,1000.0,14935.0,2830.0,0.0,2000.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:28.213,200450.0,0.25,0.1,1000.0,30.0,3.9,7600.0,1000.0,28113.0,1030.0,0.0,1300.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
