time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
17:39:37,1500.0,AUTO,-0.0009456262923777103,0.000999811920337379,0.02236822061240673,0.0003335180226713419,0.00023971099290065467,0.0015361123951151967,-35.3632622,149.1652375,14.0,-1.0,1.0,0.0,0.0,1.5,-1000.0,0.0,0.0,0.0
17:39:38,200.0,AUTO,-0.0009442049049539492,0.0010574499319773167,0.02214151155203581,0.0002548016782384366,0.00031159295758698136,0.0013692160428036004,-35.363262125,149.1652375,9.0,-0.5,0.25,0.0,0.0,1.25,-1000.0,0.25,0.5,0.5
17:39:39,200.0,AUTO,-0.0007074500899761915,0.0012691539013758302,0.021905546076595783,0.0002645009371917695,0.00017991065396927297,0.0015053173992782831,-35.3632621,149.1652375,6.5,0.0,0.0,0.5,0.0,1.5,-1000.0,0.5,1.0,0.0
17:39:41,200.0,AUTO,0.0018913061794592068,0.0009239933897333685,0.021509690210223198,0.0018171980627812445,0.002100275334669277,0.002387796761468053,-35.3632621,149.1652375,94.5,0.0,0.5,-34.5,0.0,0.5,-1065.0,1.5,2.0,1.0
17:39:42,200.0,AUTO,0.00880746659822762,0.0008523197611793876,0.02117737103253603,0.021313606877811253,-0.0022618548246100545,0.0011475063365651295,-35.363262075,149.1652375,863.75,0.0,2.25,-125.0,0.0,0.0,-1065.5,22.0,-1.25,0.5
17:39:43,200.0,AUTO,0.04731852002441883,-0.006207068101502955,0.007093358784914017,0.023799516027793288,-0.0005697384476661682,-0.016934680053964257,-35.363261800000004,149.1652388,2326.5,4.5,26.5,-147.0,0.0,-4.0,-1000.0,24.0,0.0,-17.5
17:39:45,200.0,AUTO,-0.05498244985938072,0.0020224961335770786,-0.0864507183432579,0.0013202670961618423,-0.004966682521626353,-0.025957527570426464,-35.3632608,149.1652459,5461.5,-0.5,-3.0,-149.0,0.5,-2.0,-1001.0,2.0,-4.0,-26.0
17:39:46,79991.0,AUTO,-0.031809189822524786,0.0035785088693955913,-0.10675250925123692,0.06387243047356606,0.008344362024217844,-0.006573484104592353,-35.363261025,149.16524262500002,7069.25,-7.5,-55.5,-149.25,-5.0,9.5,-1001.5,64.0,8.5,-6.5
17:39:47,79991.0,AUTO,0.03472281666472554,0.01184272300451994,-0.1074625663459301,0.06573208048939705,0.003932068473659456,0.002859168278519064,-35.3632622,149.16523654999997,8624.5,-17.5,-42.0,-152.0,-3.0,11.0,-1003.0,66.0,4.5,2.0
17:39:49,79991.0,AUTO,-0.018236270523630083,-0.025211005588062108,-0.07088831625878811,-0.05669952998869121,0.06813845969736576,-0.06892898119986057,-35.3632633,149.16523684999999,11648.5,25.0,21.5,-149.5,-1.0,-8.0,-1004.0,-55.5,68.5,-69.0
17:39:50,106461.0,AUTO,-0.020803859108127654,0.01544512459076941,-0.141558475792408,0.032443017698824406,0.022268890403211117,-0.05393610801547766,-35.363260999999994,149.165237375,13119.25,20.75,-9.75,-152.5,-5.5,-2.0,-1002.0,32.75,22.25,-53.75
