,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
06:20:52.301,-1.0,-1.0,-1.0,-1
06:20:52.503,-1.0,-1.0,-1.0,-1
06:20:52.705,-1.0,-1.0,-1.0,-1
06:20:52.907,-1.0,-1.0,-1.0,-1
06:20:53.109,-1.0,-1.0,-1.0,-1
06:20:53.311,-1.0,-1.0,-1.0,-1
06:20:53.513,-1.0,-1.0,-1.0,-1
06:20:53.716,-1.0,-1.0,-1.0,-1
06:20:53.919,-1.0,-1.0,-1.0,-1
06:20:54.120,-1.0,-1.0,-1.0,-1
06:20:54.323,-1.0,-1.0,-1.0,-1
06:20:54.529,-1.0,-1.0,-1.0,-1
06:20:54.731,-1.0,-1.0,-1.0,-1
06:20:54.934,-1.0,-1.0,-1.0,-1
06:20:55.135,-1.0,-1.0,-1.0,-1
06:20:55.337,-1.0,-1.0,-1.0,-1
06:20:55.538,-1.0,-1.0,-1.0,-1
06:20:55.741,-1.0,-1.0,-1.0,-1
06:20:55.943,-1.0,-1.0,-1.0,-1
06:20:56.145,-1.0,-1.0,-1.0,-1
06:20:56.347,-1.0,-1.0,-1.0,-1
06:20:56.549,-1.0,-1.0,-1.0,-1
06:20:56.751,-1.0,-1.0,-1.0,-1
06:20:56.953,-1.0,-1.0,-1.0,-1
06:20:57.154,-1.0,-1.0,-1.0,-1
06:20:57.356,-1.0,-1.0,-1.0,-1
06:20:57.558,-1.0,-1.0,-1.0,-1
06:20:57.760,-1.0,-1.0,-1.0,-1
06:20:57.962,-1.0,-1.0,-1.0,-1
06:20:58.165,-1.0,-1.0,-1.0,-1
06:20:58.367,-1.0,-1.0,-1.0,-1
06:20:58.569,-1.0,-1.0,-1.0,-1
06:20:58.771,-1.0,-1.0,-1.0,-1
06:20:58.973,-1.0,-1.0,-1.0,-1
06:20:59.175,-1.0,-1.0,-1.0,-1
06:20:59.377,-1.0,-1.0,-1.0,-1
06:20:59.579,-1.0,-1.0,-1.0,-1
06:20:59.781,-1.0,-1.0,-1.0,-1
06:20:59.984,-1.0,-1.0,-1.0,-1
06:21:00.186,-1.0,-1.0,-1.0,-1
06:21:00.388,-1.0,-1.0,-1.0,-1
06:21:00.590,-1.0,-1.0,-1.0,-1
06:21:00.792,-1.0,-1.0,-1.0,-1
06:21:00.995,-1.0,-1.0,-1.0,-1
06:21:01.197,-1.0,-1.0,-1.0,-1
06:21:01.400,-1.0,-1.0,-1.0,-1
06:21:01.602,-1.0,-1.0,-1.0,-1
06:21:01.804,-1.0,-1.0,-1.0,-1
06:21:02.006,-1.0,-1.0,-1.0,-1
06:21:02.210,-1.0,-1.0,-1.0,-1
06:21:02.413,-1.0,-1.0,-1.0,-1
06:21:02.616,-1.0,-1.0,-1.0,-1
06:21:02.818,-1.0,-1.0,-1.0,-1
06:21:03.023,-1.0,-1.0,-1.0,-1
06:21:03.226,-1.0,-1.0,-1.0,-1
06:21:03.428,-1.0,-1.0,-1.0,-1
06:21:03.631,-1.0,-1.0,-1.0,-1
06:21:03.833,-1.0,-1.0,-1.0,-1
06:21:04.034,-1.0,-1.0,-1.0,-1
06:21:04.236,-1.0,-1.0,-1.0,-1
06:21:04.438,-1.0,-1.0,-1.0,-1
06:21:04.641,-1.0,-1.0,-1.0,-1
06:21:04.843,-1.0,-1.0,-1.0,-1
06:21:05.044,-1.0,-1.0,-1.0,-1
06:21:05.246,-1.0,-1.0,-1.0,-1
06:21:05.448,-1.0,-1.0,-1.0,-1
06:21:05.650,-1.0,-1.0,-1.0,-1
06:21:05.852,-1.0,-1.0,-1.0,-1
06:21:06.054,-1.0,-1.0,-1.0,-1
06:21:06.256,-1.0,-1.0,-1.0,-1
06:21:06.457,-1.0,-1.0,-1.0,-1
06:21:06.660,-1.0,-1.0,-1.0,-1
06:21:06.861,-1.0,-1.0,-1.0,-1
06:21:07.063,-1.0,-1.0,-1.0,-1
06:21:07.266,-1.0,-1.0,-1.0,-1
06:21:07.468,-1.0,-1.0,-1.0,-1
06:21:07.670,-1.0,-1.0,-1.0,-1
06:21:07.872,-1.0,-1.0,-1.0,-1
06:21:08.074,-1.0,-1.0,-1.0,-1
06:21:08.276,-1.0,-1.0,-1.0,-1
06:21:08.479,-1.0,-1.0,-1.0,-1
06:21:08.682,-1.0,-1.0,-1.0,-1
06:21:08.887,-1.0,-1.0,-1.0,-1
06:21:09.088,-1.0,-1.0,-1.0,-1
06:21:09.290,-1.0,-1.0,-1.0,-1
06:21:09.492,-1.0,-1.0,-1.0,-1
06:21:09.694,-1.0,-1.0,-1.0,-1
06:21:09.896,-1.0,-1.0,-1.0,-1
06:21:10.098,-1.0,-1.0,-1.0,-1
06:21:10.300,-1.0,-1.0,-1.0,-1
06:21:10.501,-1.0,-1.0,-1.0,-1
06:21:10.704,-1.0,-1.0,-1.0,-1
06:21:10.906,-1.0,-1.0,-1.0,-1
06:21:11.108,-1.0,-1.0,-1.0,-1
06:21:11.310,-1.0,-1.0,-1.0,-1
06:21:11.512,-1.0,-1.0,-1.0,-1
06:21:11.714,-1.0,-1.0,-1.0,-1
06:21:11.916,-1.0,-1.0,-1.0,-1
06:21:12.118,-1.0,-1.0,-1.0,-1
06:21:12.321,-1.0,-1.0,-1.0,-1
06:21:12.523,-1.0,-1.0,-1.0,-1
06:21:12.725,-1.0,-1.0,-1.0,-1
06:21:12.941,-1.0,-1.0,-1.0,-1
06:21:13.142,-1.0,-1.0,-1.0,-1
06:21:13.344,-1.0,-1.0,-1.0,-1
06:21:13.546,-1.0,-1.0,-1.0,-1
06:21:13.748,-1.0,-1.0,-1.0,-1
06:21:13.950,-1.0,-1.0,-1.0,-1
06:21:14.152,-1.0,-1.0,-1.0,-1
06:21:14.354,-1.0,-1.0,-1.0,-1
06:21:14.557,-1.0,-1.0,-1.0,-1
06:21:14.759,-1.0,-1.0,-1.0,-1
06:21:14.961,-1.0,-1.0,-1.0,-1
06:21:15.163,-1.0,-1.0,-1.0,-1
06:21:15.365,-1.0,-1.0,-1.0,-1
06:21:15.566,-1.0,-1.0,-1.0,-1
06:21:15.768,-1.0,-1.0,-1.0,-1
06:21:15.970,-1.0,-1.0,-1.0,-1
06:21:16.172,-1.0,-1.0,-1.0,-1
06:21:16.375,-1.0,-1.0,-1.0,-1
06:21:16.577,-1.0,-1.0,-1.0,-1
06:21:16.779,-1.0,-1.0,-1.0,-1
06:21:16.981,-1.0,-1.0,-1.0,-1
06:21:17.183,-1.0,-1.0,-1.0,-1
06:21:17.385,-1.0,-1.0,-1.0,-1
06:21:17.587,-1.0,-1.0,-1.0,-1
06:21:17.798,-1.0,-1.0,-1.0,-1
06:21:18.000,-1.0,-1.0,-1.0,-1
06:21:18.202,-1.0,-1.0,-1.0,-1
06:21:18.405,-1.0,-1.0,-1.0,-1
06:21:18.607,-1.0,-1.0,-1.0,-1
06:21:18.809,-1.0,-1.0,-1.0,-1
06:21:19.012,-1.0,-1.0,-1.0,-1
06:21:19.213,-1.0,-1.0,-1.0,-1
06:21:19.415,-1.0,-1.0,-1.0,-1
06:21:19.617,-1.0,-1.0,-1.0,-1
06:21:19.820,-1.0,-1.0,-1.0,-1
06:21:20.022,-1.0,-1.0,-1.0,-1
06:21:20.225,-1.0,-1.0,-1.0,-1
06:21:20.429,-1.0,-1.0,-1.0,-1
06:21:20.633,-1.0,-1.0,-1.0,-1
06:21:20.849,-1.0,-1.0,-1.0,-1
06:21:21.052,-1.0,-1.0,-1.0,-1
06:21:21.253,-1.0,-1.0,-1.0,-1
06:21:21.455,-1.0,-1.0,-1.0,-1
06:21:21.658,-1.0,-1.0,-1.0,-1
06:21:21.860,-1.0,-1.0,-1.0,-1
06:21:22.062,-1.0,-1.0,-1.0,-1
06:21:22.264,-1.0,-1.0,-1.0,-1
06:21:22.466,-1.0,-1.0,-1.0,-1
06:21:22.668,-1.0,-1.0,-1.0,-1
06:21:22.870,-1.0,-1.0,-1.0,-1
06:21:23.072,-1.0,-1.0,-1.0,-1
06:21:23.274,-1.0,-1.0,-1.0,-1
06:21:23.476,-1.0,-1.0,-1.0,-1
06:21:23.678,-1.0,-1.0,-1.0,-1
06:21:23.880,-1.0,-1.0,-1.0,-1
06:21:24.082,-1.0,-1.0,-1.0,-1
06:21:24.284,-1.0,-1.0,-1.0,-1
06:21:24.486,-1.0,-1.0,-1.0,-1
06:21:24.690,-1.0,-1.0,-1.0,-1
06:21:24.892,-1.0,-1.0,-1.0,-1
06:21:25.094,-1.0,-1.0,-1.0,-1
06:21:25.297,-1.0,-1.0,-1.0,-1
06:21:25.499,-1.0,-1.0,-1.0,-1
06:21:25.701,-1.0,-1.0,-1.0,-1
06:21:25.905,-1.0,-1.0,-1.0,-1
06:21:26.107,-1.0,-1.0,-1.0,-1
06:21:26.310,-1.0,-1.0,-1.0,-1
06:21:26.512,-1.0,-1.0,-1.0,-1
06:21:26.716,-1.0,-1.0,-1.0,-1
06:21:26.918,-1.0,-1.0,-1.0,-1
06:21:27.121,-1.0,-1.0,-1.0,-1
06:21:27.324,-1.0,-1.0,-1.0,-1
06:21:27.526,-1.0,-1.0,-1.0,-1
06:21:27.728,-1.0,-1.0,-1.0,-1
06:21:27.932,-1.0,-1.0,-1.0,-1
06:21:28.134,-1.0,-1.0,-1.0,-1
06:21:28.336,-1.0,-1.0,-1.0,-1
06:21:28.545,-1.0,-1.0,-1.0,-1
06:21:28.747,-1.0,-1.0,-1.0,-1
06:21:28.949,-1.0,-1.0,-1.0,-1
06:21:29.151,-1.0,-1.0,-1.0,-1
06:21:29.353,-1.0,-1.0,-1.0,-1
06:21:29.555,-1.0,-1.0,-1.0,-1
06:21:29.757,-1.0,-1.0,-1.0,-1
06:21:29.959,-1.0,-1.0,-1.0,-1
06:21:30.161,-1.0,-1.0,-1.0,-1
06:21:30.363,-1.0,-1.0,-1.0,-1
06:21:30.565,-1.0,-1.0,-1.0,-1
06:21:30.767,-1.0,-1.0,-1.0,-1
06:21:30.969,-1.0,-1.0,-1.0,-1
06:21:31.171,-1.0,-1.0,-1.0,-1
06:21:31.373,-1.0,-1.0,-1.0,-1
06:21:31.575,-1.0,-1.0,-1.0,-1
06:21:31.776,-1.0,-1.0,-1.0,-1
06:21:31.980,-1.0,-1.0,-1.0,-1
06:21:32.184,-1.0,-1.0,-1.0,-1
06:21:32.388,-1.0,-1.0,-1.0,-1
06:21:32.590,-1.0,-1.0,-1.0,-1
06:21:32.792,-1.0,-1.0,-1.0,-1
06:21:32.994,-1.0,-1.0,-1.0,-1
06:21:33.196,-1.0,-1.0,-1.0,-1
06:21:33.398,-1.0,-1.0,-1.0,-1
06:21:33.600,-1.0,-1.0,-1.0,-1
06:21:33.802,-1.0,-1.0,-1.0,-1
06:21:34.004,-1.0,-1.0,-1.0,-1
06:21:34.206,-1.0,-1.0,-1.0,-1
06:21:34.408,-1.0,-1.0,-1.0,-1
06:21:34.610,-1.0,-1.0,-1.0,-1
06:21:34.811,-1.0,-1.0,-1.0,-1
06:21:35.015,-1.0,-1.0,-1.0,-1
06:21:35.217,-1.0,-1.0,-1.0,-1
06:21:35.418,-1.0,-1.0,-1.0,-1
06:21:35.620,-1.0,-0.992,-1.0,-1
06:21:35.823,-1.0,-0.992,-1.0,-1
06:21:36.025,-1.0,-0.985,-1.0,-1
06:21:36.228,-1.0,-0.985,-1.0,-1
06:21:36.430,-1.0,-0.985,-1.0,-1
06:21:36.632,-1.0,-0.985,-1.0,-1
06:21:36.834,-1.0,-0.985,-1.0,-1
06:21:37.045,-1.0,-0.985,-1.0,-1
06:21:37.247,-1.0,-0.985,-1.0,-1
06:21:37.449,-1.0,-0.985,-1.0,-1
06:21:37.651,-1.0,-0.985,-1.0,-1
06:21:37.853,-1.0,-0.985,-1.0,-1
06:21:38.055,-1.0,-0.985,-1.0,-1
06:21:38.257,-1.0,-0.985,-1.0,-1
06:21:38.459,-1.0,-0.985,-1.0,-1
06:21:38.661,-1.0,-0.985,-1.0,-1
06:21:38.863,-1.0,-0.985,-1.0,-1
06:21:39.065,-1.0,-0.99,-1.0,-1
06:21:39.266,-1.0,-0.989,-1.0,-1
06:21:39.468,-1.0,-0.989,-1.0,-1
06:21:39.670,-1.0,-0.989,-1.0,-1
06:21:39.872,-1.0,-0.989,-1.0,-1
06:21:40.074,-1.0,-0.989,-1.0,-1
06:21:40.276,-1.0,-0.989,-1.0,-1
06:21:40.478,-1.0,-0.988,-1.0,-1
06:21:40.680,-1.0,-0.988,-1.0,-1
06:21:40.883,-1.0,-0.988,-1.0,-1
06:21:41.085,-1.0,-0.988,-1.0,-1
06:21:41.287,-1.0,-0.988,-1.0,-1
06:21:41.489,-1.0,-0.988,-1.0,-1
06:21:41.691,-1.0,-0.988,-1.0,-1
06:21:41.893,-1.0,-0.987,-1.0,-1
06:21:42.096,-1.0,-0.988,-1.0,-1
06:21:42.298,-1.0,-0.988,-1.0,-1
06:21:42.500,-1.0,-0.988,-1.0,-1
06:21:42.703,-1.0,-0.988,-1.0,-1
06:21:42.905,-1.0,-0.988,-1.0,-1
