,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
12:32:36.843,245404.0,2.0897745723711068,61.34820156100816,1390.0940487119503,7058.471041832961,1.8,900.0,1727.4435952208642,28403.0,2720.0,0.9652117369414146,50.0,2.3,229.4929388674268,43.56741941171355,107.2985086501223,212.96484405443707,233.95688944039756,87.21530521983865,90.26822248541707
12:32:39.854,173472.0,2.8615934121458975,6.30050993167698,1959.591151733413,6256.9961902015175,1.3,17100.0,1716.4712780467107,23614.0,2280.0,2.803105181357043,450.0,8.4,64.60141179680022,43.737297504030806,178.02652950127327,83.2821417803914,143.8410178900422,248.0441772150818,174.13528433784495
12:32:42.874,225365.0,1.6261473811877167,54.12009137262629,1944.8330882505738,8761.319838306254,2.1,8700.0,1816.3518492080916,28697.0,90.0,1.985734538431836,700.0,0.6,20.7211482332321,89.49160542173776,80.96471491155604,39.97306229879017,32.99936785872955,151.88368403261595,29.32848923297165
12:32:45.888,173441.0,2.3059033386053587,3.8467714901348815,1398.0730558026216,8349.99997280583,3.1,14700.0,1763.7330502340683,10475.0,1150.0,1.0719086472176902,600.0,9.7,185.79771904284902,162.72196992035538,65.10424058211993,55.98752320421741,221.12378887225722,155.1749411311999,192.297158242543
12:32:48.898,134223.0,0.9280347149572555,45.491707987034374,1478.1990183768314,3751.86842839151,3.7,4100.0,1019.1255497020072,17891.0,2350.0,3.0450906344853768,500.0,2.1,201.98063030262458,27.525713577679895,134.86463710808707,155.53399050031211,70.77871051966376,58.11952227030808,59.235628181994365
12:32:51.905,155057.0,0.9590393459224321,88.70237896825398,1810.793551919537,2509.3337061034035,2.9,7800.0,1377.043841259979,25046.0,2300.0,1.3196195074277193,1400.0,9.2,53.01058740229173,62.52466705013111,147.402639262979,227.6584295487709,36.104456615347885,23.058587562898417,84.80232503127226
12:32:54.915,163570.0,1.5545478064770546,89.13767579181021,1039.9483051005006,2303.8900548987917,3.0,9400.0,1294.962156565698,13413.0,2510.0,1.4018284665505258,1100.0,9.2,77.4391896858386,188.30272526678607,182.59822812383211,116.53067905768067,228.1516162835201,210.90938890852263,121.39409175435858
12:32:57.927,194636.0,0.8013842843299078,59.99511049114239,1148.2312834764682,7305.446112646023,2.0,17400.0,1093.3240832875902,12540.0,2610.0,3.9328287316034407,1600.0,5.0,186.78012661404543,186.94198684265814,30.522232058469605,93.90843594214888,80.05394331979542,99.55909338167449,102.11874876561487
12:33:00.938,256055.0,2.7708580572201096,25.061489919303135,1810.5621019950513,4770.032398434565,3.9,2800.0,1614.4576005342306,17586.0,2150.0,3.0228941903549322,500.0,7.9,113.37636262996979,218.3963388080826,239.7761016085555,228.5124518068636,36.96314907021292,211.1565595849713,190.28418026950203
12:33:03.944,18651.0,0.6732985852059912,30.432766612834893,1064.5072779985267,9832.208499927037,0.6,15800.0,1960.0019930427657,18191.0,2610.0,0.023097853164921744,1300.0,5.8,167.9400511086005,150.44055899742534,230.59969803263266,20.639985251073778,3.4845680407771136,6.591072272302408,17.413263551469747
