time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
14:15:01,AUTO,-0.0013099406205583364,0.0009735686180647463,0.02222164859995246,0.0002181796298827976,0.000249378674197942,0.0015458909911103547,-35.3632622,149.1652375,2.0,-1.0,0.0,0.0,0.0,2.0,-1000.0,0.5,0.5,0.25,248468.0
14:15:02,AUTO,-0.0012350252363830805,0.0010483561782166362,0.022043936885893345,0.0002463815617375076,0.00025161169469356537,0.0015798647655174136,-35.3632621,149.1652375,5.5,-0.5,0.0,0.0,0.0,2.0,-1000.0,0.5,0.5,0.5,248468.0
14:15:04,AUTO,-0.000865757669089362,0.0015396101516671479,0.02165408991277218,0.00026247839559800923,0.00031323503935709596,0.001466879853978753,-35.3632621,149.1652375,10.0,0.0,0.0,0.0,0.0,1.5,-1000.0,1.0,0.5,0.0,202772.5
14:15:06,AUTO,0.011855099932290614,2.7246249374002218e-05,0.02079154923558235,0.018450142815709114,-0.0012711395975202322,0.0018089719233103096,-35.3632621,149.1652375,917.5,0.5,3.0,-123.0,0.0,0.0,-1062.5,19.0,-0.5,1.0,157077.0
14:15:07,AUTO,0.04851911589503288,-0.006299913628026843,0.01355370506644249,0.028179845539852977,-0.0017016949132084846,-0.010519990173634142,-35.363261824999995,149.1652386,2366.25,4.25,26.25,-148.5,0.25,-4.0,-1000.25,28.75,-0.75,-11.25,5129.0
14:15:08,AUTO,0.0008033663034439087,0.030210460536181927,-0.07382751815021038,-0.08289065025746822,0.0376772815361619,-0.09273869544267654,-35.3632612,149.16524305000002,3891.5,-1.0,44.0,-147.5,4.5,-8.5,-997.5,-82.0,38.5,-93.0,5129.0
14:15:10,AUTO,-0.024290717439725995,-0.023861135356128216,-0.09713668376207352,0.06281516514718533,-0.00226970249786973,0.017452809028327465,-35.3632639,149.16524314999998,6961.5,-10.5,-43.5,-150.5,-2.0,10.0,-1002.0,63.0,-1.5,16.5,141900.5
14:15:12,AUTO,0.02014470426365733,-0.01920432853512466,-0.06173469126224518,-0.0180875426158309,0.015013093128800392,-4.863739013671875e-05,-35.3632622,149.16523585,10069.5,32.5,-7.5,-150.5,-7.0,-2.5,-1000.0,-17.0,15.5,-0.5,278672.0
14:15:13,AUTO,-0.0012680393119808286,0.03181749256327748,-0.11419830098748207,0.004163067991612479,0.02280689614417497,-0.045122779440134764,-35.363259225,149.16523510000002,11612.5,21.75,-5.5,-152.0,-5.5,-1.75,-1002.5,4.75,23.0,-45.25,220682.0
14:15:14,AUTO,0.009130298160016537,0.028075162321329117,-0.1313028782606125,0.006691597285680473,-0.017096022609621286,0.0031142730731517076,-35.36325865,149.16523454999998,13173.0,-9.0,0.0,-152.0,0.5,1.0,-999.0,7.5,-16.0,2.5,220682.0
14:15:16,AUTO,-0.0008042234694585204,-0.00420674541965127,-0.1311061792075634,-0.00317448700661771,-0.00574380814214237,-0.017956719268113375,-35.3632615,149.16523569999998,16286.0,-14.0,9.0,-152.0,3.5,0.0,-1000.5,-2.5,-5.0,-18.0,174606.0
14:15:18,AUTO,-0.01982761302497238,0.005676913191564381,-0.17935127764940262,-0.016490704379975796,0.044678419129922986,0.05739492550492287,-35.3632623,149.16523615,19393.5,-2.0,-5.0,-150.5,-0.5,0.5,-991.0,-16.0,45.0,57.0,128530.0
14:15:19,AUTO,-0.021689029643312097,0.02589364815503359,0.023927581263706088,0.0631215269677341,-0.06479675509035587,0.2644918314181268,-35.36326305,149.165234275,20853.25,-23.75,-29.5,-129.25,1.0,7.25,-962.25,63.75,-63.75,263.25,13752.0
14:15:20,AUTO,0.04640859179198742,-0.036205142736434937,0.09244166687130928,0.02412400860339403,-0.010195165872573853,-0.02854746486991644,-35.363264799999996,149.16523180000002,21953.0,-10.0,-3.5,-89.5,0.5,3.0,-964.5,25.0,-9.5,-28.5,13752.0
14:15:22,AUTO,-0.0023148355539888144,0.010861347895115614,0.07247339934110641,-0.024683332070708275,0.01273571839556098,-0.002588921575807035,-35.363262649999996,149.16523695,23185.0,15.5,31.5,-36.5,0.0,-8.0,-976.5,-23.5,13.5,-2.5,45610.0
14:15:24,AUTO,-0.010978456120938063,-0.013235179707407951,0.06438685581088066,0.09144404530525208,-0.07419625669717789,-0.00491882604546845,-35.3632612,149.1652396,23331.5,3.0,-6.5,15.0,-2.0,-8.0,-998.5,92.0,-73.0,-4.5,77468.0
14:15:25,AUTO,0.03203397057950497,-0.07810333278030157,0.09702929854393005,0.16120758652687073,-0.03375922655686736,0.23256081296131015,-35.363259424999995,149.16523899999999,23191.5,45.5,6.25,3.75,-9.5,4.25,-1012.5,162.25,-32.25,232.75,276327.0
14:15:26,AUTO,0.02157304435968399,-0.13020964711904526,0.4041616916656494,0.09212978184223175,-0.0483391135931015,0.2336902618408203,-35.3632517,149.16524125,23147.5,125.5,41.5,1.5,-28.0,-16.0,-1007.0,92.5,-46.5,234.0,276327.0
14:15:28,AUTO,0.03921185992658138,-0.19364945590496063,0.40084442496299744,-0.04717292636632919,-0.014168001478537917,0.008645046269521117,-35.36321085,149.16525915,22996.5,339.0,127.0,8.5,-74.0,-52.0,-998.0,-46.5,-13.0,8.5,201872.5
14:15:30,AUTO,0.06359993852674961,-0.20484404265880585,0.3921218514442444,0.00911684986203909,0.03078447189182043,0.006723068239807617,-35.36313175,149.1652951,22725.0,536.5,202.0,11.5,-112.0,-63.5,-997.0,9.5,31.0,6.5,127418.0
14:15:31,AUTO,0.07560539804399014,-0.181009229272604,0.3901026099920273,0.005584000609815121,0.02097879274515435,0.0019321252566442126,-35.363080575,149.16531824999998,22597.25,599.0,229.5,10.25,-128.75,-68.75,-989.75,6.5,21.5,1.5,16966.0
14:15:32,AUTO,0.08048222586512566,-0.15920689702033997,0.38974834978580475,-0.007130935788154602,0.023300560424104333,-0.007394949672743678,-35.3630248,149.16534385,22472.5,630.5,245.0,11.0,-142.0,-70.5,-990.5,-5.5,24.5,-7.0,16966.0
14:15:34,AUTO,0.08182790502905846,-0.13435635715723038,0.3857332617044449,0.004872800083830953,-0.010797657072544098,-0.010748204309493303,-35.36290935,149.16539765,22163.5,635.0,247.5,18.5,-145.5,-75.5,-987.0,6.0,-9.5,-10.5,43354.5
14:15:36,AUTO,0.0774475522339344,-0.1310340166091919,0.38075655698776245,-0.004899701103568077,-0.005286860512569547,0.005614711903035641,-35.3627937,149.16545209999998,21755.0,642.5,243.5,15.5,-133.5,-87.5,-989.5,-3.5,-4.0,5.0,69743.0
14:15:37,AUTO,0.07494856789708138,-0.13410932943224907,0.37931861728429794,0.0009667982230894268,0.013058768818154931,0.0007764956390019506,-35.36273595,149.165479,21576.0,640.25,240.5,15.75,-137.75,-78.25,-989.75,2.0,13.5,0.75,198268.0
14:15:38,AUTO,0.08235670626163483,-0.08732660114765167,0.37885306775569916,-0.002834733109921217,0.04998898319900036,-0.004115200834348798,-35.36267895,149.16550515,21438.5,618.0,230.5,8.5,-141.5,-84.5,-1002.5,-1.5,50.5,-4.0,198268.0
14:15:40,AUTO,0.07144537940621376,0.01377425785176456,0.37865695357322693,-0.23117299377918243,0.04572645388543606,0.00830246601253748,-35.36257905,149.16555105,21192.5,467.5,179.0,14.5,-99.5,-78.0,-994.0,-230.0,46.5,8.0,166394.0
14:15:42,AUTO,0.037101960740983486,0.05543949082493782,0.37664203345775604,-0.08061796426773071,0.020339781884104013,0.009760599001310766,-35.3625144,149.16558205,20890.0,250.5,98.5,8.0,-53.5,-51.5,-1016.5,-79.5,21.0,9.0,134520.0
14:15:43,AUTO,0.021685389569029212,0.07565834932029247,0.37489403039216995,0.25533293187618256,-0.0023149591870605946,-0.0009045966435223818,-35.36249625,149.16559125,20818.0,151.25,59.25,2.25,-29.0,-13.75,-1008.0,256.75,-1.25,-1.25,78097.0
14:15:44,AUTO,-0.002727775485254824,0.053689517080783844,0.3741610497236252,-0.20044198632240295,-0.025588625110685825,0.005200832616537809,-35.36248715,149.1655964,20792.0,72.5,22.5,1.0,-12.5,-27.0,-995.5,-199.5,-24.5,4.5,78097.0
14:15:46,AUTO,-0.005541712343983818,0.00685671647079289,0.3742547780275345,0.1827031448483467,-0.028622169978916645,-0.004046366200782359,-35.362483,149.1655981,20797.0,4.5,-10.5,-1.5,0.0,9.0,-1005.0,183.5,-27.0,-3.5,176759.5
14:15:48,RTL,-0.001831325120292604,-0.0040635899640619755,0.3717285841703415,0.0015243589878082275,0.002382894163019955,-0.0026503977132961154,-35.36248325,149.165597,20875.5,6.0,-7.5,-16.0,-1.0,8.0,-1025.0,3.0,3.0,-2.0,275422.0
14:15:49,RTL,0.0024402460840065032,-0.001812068665458355,0.37103336304426193,-0.034339199773967266,0.002999020041897893,-0.0005560801655519754,-35.362483075,149.16559645,21223.5,4.5,-2.75,-59.5,-0.5,-0.75,-1051.75,-33.0,3.25,-0.5,232589.0
14:15:50,RTL,0.0008171477384166792,-0.0001103234571928624,0.3706251233816147,0.023892897297628224,0.0002196919813286513,-0.0006148863285488915,-35.36248295,149.16559625000002,22094.5,2.5,0.0,-107.5,0.0,2.0,-1047.0,25.5,0.5,-0.5,232589.0
14:15:52,RTL,0.041119541972875595,0.003321975702419877,0.35806961357593536,-0.05099720321595669,0.04441454354673624,-0.049003274529241025,-35.36248295,149.16559845,24903.5,-6.0,35.5,-147.0,1.5,-6.5,-995.5,-50.0,45.0,-49.0,232919.0
14:15:54,RTL,-0.05830782651901245,0.0074359648860991,0.27515582740306854,-0.013827769085764885,0.06322754267603159,-0.07790802046656609,-35.36248295,149.1656039,27948.0,10.5,-20.0,-148.0,-4.5,2.0,-998.0,-13.0,64.0,-77.5,233249.0
14:15:55,RTL,-0.014917604275979102,0.030235431157052517,0.22466157749295235,0.06776989996433258,0.007323274738155305,-0.01965756609570235,-35.362482299999996,149.16559915,29480.25,-6.0,-61.75,-149.0,-4.25,13.0,-1002.5,68.25,7.75,-19.0,260464.0
14:15:56,RTL,0.03203617688268423,0.0044964272528886795,0.2379036247730255,0.027529439888894558,-0.05903649504762143,0.054690125631168485,-35.36248415,149.16559310000002,31034.0,-35.0,-38.5,-150.5,3.0,12.0,-1003.5,28.5,-57.5,55.0,260464.0
14:15:58,RTL,0.008189836516976357,-0.039021508768200874,0.31141580641269684,-0.044726827181875706,0.07443361915647984,-0.0830830056220293,-35.362484050000006,149.165595,34119.0,43.5,50.5,-147.5,-7.5,-13.5,-1003.0,-42.5,75.0,-82.0,242657.5
14:16:00,RTL,-0.007173637859523296,0.0601150318980217,0.12587964162230492,0.05413094162940979,0.002421984914690256,-0.029408409260213375,-35.362477299999995,149.1655976,37229.0,-11.5,-25.5,-152.0,-3.0,5.0,-1000.0,54.5,3.5,-28.0,224851.0
14:16:01,RTL,0.03040014998987317,0.025864451192319393,0.13001274317502975,-0.0006168438121676445,-0.09294788725674152,0.0662785260938108,-35.36248015,149.165595275,38783.5,-58.25,-9.0,-150.0,8.75,6.5,-999.75,0.75,-91.25,66.75,199566.0
14:16:02,RTL,-0.010441221296787262,-0.053937165066599846,0.20334375649690628,-0.037422094494104385,-0.03203418105840683,0.03923596441745758,-35.3624839,149.16559595,40330.5,-21.0,13.5,-151.0,6.5,0.0,-1004.5,-36.0,-30.5,39.5,199566.0
14:16:04,RTL,0.013136795721948147,0.02454438479617238,0.11474432423710823,0.06060128100216389,0.038658276200294495,-0.010483409510925412,-35.36248045,149.1655948,43446.0,17.0,-17.5,-153.0,-7.0,1.5,-1001.0,61.5,39.5,-9.0,183216.0
14:16:06,RTL,-0.011337585281580687,-0.0030964533798396587,0.12381263077259064,-0.053052415139973164,-0.0467406939715147,0.02037236886098981,-35.3624829,149.16559625,46546.0,-34.5,25.0,-150.0,9.0,-3.5,-1003.5,-51.5,-45.0,21.0,166866.0
14:16:07,RTL,-0.027728576213121414,-0.021139037795364857,0.11802859045565128,0.016576529858866706,0.005395171872805804,-0.02675910503603518,-35.36248475,149.165597925,48102.75,-7.25,2.0,-153.0,2.5,-0.25,-1001.0,17.75,6.75,-25.25,290552.0
14:16:08,RTL,-0.004202943528071046,-0.007653367763850838,0.08416160196065903,0.02445483859628439,0.02009022980928421,-0.024960097391158342,-35.36248435,149.16559715,49665.5,8.0,-10.0,-152.5,-3.0,1.0,-999.0,25.5,21.0,-23.5,290552.0
14:16:10,RTL,0.0078372813295573,0.006344490917399526,0.09716837853193283,-0.00634964881464839,0.0001789964153431356,0.024445941671729088,-35.362482850000006,149.1655956,52778.5,-0.5,3.0,-152.0,-0.5,0.0,-999.5,-4.5,1.5,24.5,223403.5
14:16:12,RTL,-0.0008362321532331407,0.0024559727171435952,0.13623347878456116,-0.00161480822134763,-7.166332216002047e-05,0.016889378428459167,-35.3624828,149.16559619999998,55883.0,-3.5,3.5,-152.0,0.0,0.0,-999.5,-0.5,1.0,17.5,156255.0
14:16:13,RTL,-0.0007445523660862818,0.0013776220148429275,0.1520565040409565,0.0009443321905564517,-0.000247557443799451,0.015213289996609092,-35.3624828,149.16559635000002,57433.25,-2.75,1.75,-152.0,0.0,0.0,-999.75,2.0,0.75,15.75,18624.0
14:16:14,RTL,-0.00012746136781061068,0.001205693872179836,0.1651279181241989,0.0011792982695624232,8.834066102281213e-05,0.01391249243170023,-35.3624828,149.1655964,58986.5,-2.0,1.0,-152.0,0.0,0.0,-999.5,2.5,1.0,14.5,18624.0
14:16:16,RTL,0.00039076924440450966,0.001216527947690338,0.1866031289100647,-0.0010024002403952181,0.0018931313534267247,0.009221385233104229,-35.3624828,149.1655964,62091.5,-2.0,0.0,-152.0,0.0,0.0,-999.5,0.5,3.0,10.0,93868.0
14:16:18,RTL,0.0009441336733289063,0.0009308566513936967,0.20253081619739532,-0.00030065944883972406,0.0015629135305061936,0.007823997410014272,-35.3624827,149.16559635,65199.5,-2.0,0.5,-152.0,0.0,0.0,-999.5,0.5,2.0,8.5,169112.0
