,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
14:32:37.027,-1,-1.0,-1,-1
14:32:37.228,-1,-1.0,-1,-1
14:32:57.396,-1,-1.0,-1,-1
14:32:57.598,-1,-1.0,-1,-1
14:32:57.799,-1,-1.0,-1,-1
14:32:58.002,-1,-1.0,-1,-1
14:32:58.204,-1,-1.0,-1,-1
14:32:58.405,-1,-1.0,-1,-1
14:32:58.607,-1,-1.0,-1,-1
14:32:58.809,-1,-1.0,-1,-1
14:32:59.011,-1,-1.0,-1,-1
14:32:59.213,-1,-1.0,-1,-1
14:32:59.415,-1,-1.0,-1,-1
14:32:59.619,-1,-1.0,-1,-1
14:32:59.821,-1,-1.0,-1,-1
14:33:00.023,-1,-1.0,-1,-1
14:33:00.224,-1,-1.0,-1,-1
14:33:00.427,-1,-1.0,-1,-1
14:33:00.628,-1,-1.0,-1,-1
14:33:00.831,-1,-1.0,-1,-1
14:33:01.033,-1,-1.0,-1,-1
14:33:01.235,-1,-1.0,-1,-1
14:33:01.436,-1,-1.0,-1,-1
14:33:01.642,-1,-1.0,-1,-1
14:33:01.844,-1,-1.0,-1,-1
14:33:02.046,-1,-1.0,-1,-1
14:33:02.247,-1,-1.0,-1,-1
14:33:02.449,-1,-1.0,-1,-1
14:33:02.651,-1,-1.0,-1,-1
14:33:02.853,-1,-1.0,-1,-1
14:33:03.055,-1,-1.0,-1,-1
14:33:03.257,-1,-1.0,-1,-1
14:33:03.459,-1,-1.0,-1,-1
14:33:03.661,-1,-1.0,-1,-1
14:33:03.864,-1,-1.0,-1,-1
14:33:04.065,-1,-1.0,-1,-1
14:33:04.267,-1,-1.0,-1,-1
14:33:04.468,-1,-1.0,-1,-1
14:33:04.669,-1,-1.0,-1,-1
14:33:04.871,-1,-1.0,-1,-1
14:33:05.073,-1,-1.0,-1,-1
14:33:05.275,-1,-1.0,-1,-1
14:33:05.477,-1,-1.0,-1,-1
14:33:05.679,-1,-1.0,-1,-1
14:33:05.881,-1,-1.0,-1,-1
14:33:06.082,-1,-1.0,-1,-1
14:33:06.284,-1,-1.0,-1,-1
14:33:06.485,-1,-1.0,-1,-1
14:33:06.687,-1,-1.0,-1,-1
14:33:06.888,-1,-1.0,-1,-1
14:33:07.090,-1,-1.0,-1,-1
14:33:07.292,-1,-1.0,-1,-1
14:33:07.493,-1,-1.0,-1,-1
14:33:07.695,-1,-1.0,-1,-1
14:33:07.897,-1,-1.0,-1,-1
14:33:08.098,-1,-1.0,-1,-1
14:33:08.300,-1,-1.0,-1,-1
14:33:08.501,-1,-1.0,-1,-1
14:33:08.703,-1,-1.0,-1,-1
14:33:08.905,-1,-1.0,-1,-1
14:33:09.106,-1,-1.0,-1,-1
14:33:09.308,-1,-1.0,-1,-1
14:33:09.509,-1,-1.0,-1,-1
14:33:09.711,-1,-1.0,-1,-1
14:33:09.912,-1,-1.0,-1,-1
14:33:10.115,-1,-1.0,-1,-1
14:33:10.318,-1,-1.0,-1,-1
14:33:10.519,-1,-1.0,-1,-1
14:33:10.721,-1,-1.0,-1,-1
14:33:10.923,-1,-1.0,-1,-1
14:33:11.125,-1,-1.0,-1,-1
14:33:11.327,-1,-1.0,-1,-1
14:33:11.529,-1,-1.0,-1,-1
14:33:11.730,-1,-1.0,-1,-1
14:33:11.943,-1,-1.0,-1,-1
14:33:12.144,-1,-1.0,-1,-1
14:33:12.346,-1,-1.0,-1,-1
14:33:12.548,-1,-1.0,-1,-1
14:33:12.750,-1,-1.0,-1,-1
14:33:12.953,-1,-1.0,-1,-1
14:33:13.155,-1,-1.0,-1,-1
14:33:13.357,-1,-1.0,-1,-1
14:33:13.559,-1,-1.0,-1,-1
14:33:13.761,-1,-1.0,-1,-1
14:33:13.962,-1,-1.0,-1,-1
14:33:14.164,-1,-1.0,-1,-1
14:33:14.365,-1,-1.0,-1,-1
14:33:14.567,-1,-1.0,-1,-1
14:33:14.769,-1,-1.0,-1,-1
14:33:14.971,-1,-1.0,-1,-1
14:33:15.173,-1,-1.0,-1,-1
14:33:15.375,-1,-1.0,-1,-1
14:33:15.577,-1,-1.0,-1,-1
14:33:15.778,-1,-1.0,-1,-1
14:33:15.980,-1,-1.0,-1,-1
14:33:16.181,-1,-1.0,-1,-1
14:33:16.383,-1,-1.0,-1,-1
14:33:16.585,-1,-1.0,-1,-1
14:33:16.787,-1,-1.0,-1,-1
14:33:16.989,-1,-1.0,-1,-1
14:33:17.191,-1,-1.0,-1,-1
14:33:17.393,-1,-1.0,-1,-1
14:33:17.594,-1,-1.0,-1,-1
14:33:17.796,-1,-1.0,-1,-1
14:33:17.998,-1,-1.0,-1,-1
14:33:18.200,-1,-1.0,-1,-1
14:33:18.401,-1,-1.0,-1,-1
14:33:18.603,-1,-1.0,-1,-1
14:33:18.805,-1,-1.0,-1,-1
14:33:19.007,-1,-1.0,-1,-1
14:33:19.209,-1,-1.0,-1,-1
14:33:19.411,-1,-1.0,-1,-1
14:33:19.612,-1,-1.0,-1,-1
14:33:19.814,-1,-1.0,-1,-1
14:33:20.016,-1,-1.0,-1,-1
14:33:20.218,-1,-1.0,-1,-1
14:33:20.420,-1,-1.0,-1,-1
14:33:20.622,-1,-1.0,-1,-1
14:33:20.823,-1,-1.0,-1,-1
14:33:21.025,-1,-1.0,-1,-1
14:33:21.227,-1,-1.0,-1,-1
14:33:21.429,-1,-1.0,-1,-1
14:33:21.631,-1,-1.0,-1,-1
14:33:21.833,-1,-1.0,-1,-1
14:33:22.035,-1,-1.0,-1,-1
14:33:22.236,-1,-1.0,-1,-1
14:33:22.438,-1,-1.0,-1,-1
14:33:22.640,-1,-1.0,-1,-1
14:33:22.842,-1,-1.0,-1,-1
14:33:23.044,-1,-1.0,-1,-1
14:33:23.245,-1,-1.0,-1,-1
14:33:23.447,-1,-1.0,-1,-1
14:33:23.649,-1,-1.0,-1,-1
14:33:23.851,-1,-1.0,-1,-1
14:33:24.056,-1,-1.0,-1,-1
14:33:24.257,-1,-1.0,-1,-1
14:33:24.460,-1,-1.0,-1,-1
14:33:24.662,-1,-1.0,-1,-1
14:33:24.865,-1,-1.0,-1,-1
14:33:25.067,-1,-1.0,-1,-1
14:33:25.269,-1,-1.0,-1,-1
14:33:25.471,-1,-1.0,-1,-1
14:33:25.673,-1,-1.0,-1,-1
14:33:25.875,-1,-1.0,-1,-1
14:33:26.077,-1,-1.0,-1,-1
14:33:26.278,-1,-1.0,-1,-1
14:33:26.480,-1,-1.0,-1,-1
14:33:26.682,-1,-1.0,-1,-1
14:33:26.884,-1,-1.0,-1,-1
14:33:27.086,-1,-1.0,-1,-1
14:33:27.289,-1,-1.0,-1,-1
14:33:27.491,-1,-1.0,-1,-1
14:33:27.693,-1,-1.0,-1,-1
14:33:27.894,-1,-1.0,-1,-1
14:33:28.096,-1,-1.0,-1,-1
14:33:28.298,-1,-1.0,-1,-1
14:33:28.500,-1,-1.0,-1,-1
14:33:28.701,-1,-1.0,-1,-1
14:33:28.903,-1,-1.0,-1,-1
14:33:29.105,-1,-1.0,-1,-1
14:33:29.307,-1,-1.0,-1,-1
14:33:29.509,-1,-1.0,-1,-1
14:33:29.711,-1,-1.0,-1,-1
14:33:29.913,-1,-1.0,-1,-1
14:33:30.114,-1,-1.0,-1,-1
14:33:30.316,-1,-1.0,-1,-1
14:33:30.518,-1,-1.0,-1,-1
14:33:30.720,-1,-1.0,-1,-1
14:33:30.922,-1,-1.0,-1,-1
14:33:31.123,-1,-1.0,-1,-1
14:33:31.325,-1,-1.0,-1,-1
14:33:31.527,-1,-1.0,-1,-1
14:33:31.729,-1,-1.0,-1,-1
14:33:31.931,-1,-1.0,-1,-1
14:33:32.133,-1,-1.0,-1,-1
14:33:32.335,-1,-1.0,-1,-1
14:33:32.536,-1,-1.0,-1,-1
14:33:32.738,-1,-1.0,-1,-1
14:33:32.940,-1,-1.0,-1,-1
14:33:33.143,-1,-1.0,-1,-1
14:33:33.344,-1,-1.0,-1,-1
14:33:33.546,-1,-1.0,-1,-1
14:33:33.753,-1,-1.0,-1,-1
14:33:33.956,-1,-1.0,-1,-1
14:33:34.159,-1,-1.0,-1,-1
14:33:34.361,-1,-1.0,-1,-1
14:33:34.564,-1,-1.0,-1,-1
14:33:34.766,-1,-1.0,-1,-1
14:33:34.967,-1,-1.0,-1,-1
14:33:35.169,-1,-1.0,-1,-1
14:33:35.371,-1,-1.0,-1,-1
14:33:35.573,-1,-1.0,-1,-1
14:33:35.775,-1,-1.0,-1,-1
14:33:35.977,-1,-1.0,-1,-1
14:33:36.179,-1,-1.0,-1,-1
14:33:36.381,-1,-1.0,-1,-1
14:33:36.582,-1,-1.0,-1,-1
14:33:36.784,-1,-1.0,-1,-1
14:33:36.986,-1,-1.0,-1,-1
14:33:37.188,-1,-1.0,-1,-1
14:33:37.390,-1,-1.0,-1,-1
14:33:37.591,-1,-1.0,-1,-1
14:33:37.793,-1,-1.0,-1,-1
14:33:37.995,-1,-1.0,-1,-1
14:33:38.197,-1,-1.0,-1,-1
14:33:38.398,-1,-1.0,-1,-1
14:33:38.600,-1,-0.987,-1,-1
14:33:38.803,-1,-0.987,-1,-1
14:33:39.005,-1,-0.987,-1,-1
14:33:39.207,-1,-0.987,-1,-1
14:33:39.410,-1,-0.987,-1,-1
14:33:39.612,-1,-0.987,-1,-1
14:33:39.813,-1,-0.939,-1,-1
14:33:40.016,-1,-0.939,-1,-1
14:33:40.217,-1,-0.938,-1,-1
14:33:40.419,-1,-0.938,-1,-1
14:33:40.621,-1,-0.938,-1,-1
14:33:40.822,-1,-0.938,-1,-1
14:33:41.024,-1,-0.937,-1,-1
14:33:41.226,-1,-0.937,-1,-1
14:33:41.428,-1,-0.936,-1,-1
14:33:41.629,-1,-0.936,-1,-1
14:33:41.831,-1,-0.936,-1,-1
14:33:42.033,-1,-0.936,-1,-1
14:33:42.234,-1,-0.934,-1,-1
14:33:42.437,-1,-0.933,-1,-1
14:33:42.638,-1,-0.933,-1,-1
14:33:42.841,-1,-0.989,-1,-1
14:33:43.042,-1,-0.989,-1,-1
14:33:43.244,-1,-0.989,-1,-1
14:33:43.446,-1,-0.989,-1,-1
14:33:43.648,-1,-0.989,-1,-1
14:33:43.850,-1,-0.989,-1,-1
14:33:44.055,-1,-0.989,-1,-1
14:33:44.258,-1,-0.988,-1,-1
14:33:44.460,-1,-0.988,-1,-1
14:33:44.662,-1,-0.988,-1,-1
14:33:44.864,-1,-0.988,-1,-1
14:33:45.066,-1,-0.988,-1,-1
14:33:45.268,-1,-0.987,-1,-1
14:33:45.470,-1,-0.987,-1,-1
14:33:45.672,-1,-0.987,-1,-1
14:33:45.873,-1,-0.983,-1,-1
14:33:46.075,-1,-0.983,-1,-1
14:33:46.277,-1,-0.982,-1,-1
14:33:46.478,-1,-0.982,-1,-1
14:33:46.680,-1,-0.982,-1,-1
14:33:46.882,-1,-0.982,-1,-1
14:33:47.084,-1,-0.981,-1,-1
