,A.RTL3
18:54:55.679,-1.0
18:54:55.881,-1.0
18:54:56.086,-1.0
18:54:56.290,-1.0
18:54:56.493,-1.0
18:54:56.694,-1.0
18:54:56.896,-1.0
18:54:57.097,-1.0
18:54:57.299,-1.0
18:54:57.500,-1.0
18:54:57.705,-1.0
18:54:57.907,-1.0
18:54:58.108,-1.0
18:54:58.310,-1.0
18:54:58.511,-1.0
18:54:58.713,-1.0
18:54:58.915,-1.0
18:54:59.116,-1.0
18:54:59.317,-1.0
18:54:59.519,-1.0
18:55:03.203,-1.0
18:55:03.404,-1.0
18:55:03.606,-1.0
18:55:03.808,-1.0
18:55:04.010,-1.0
18:55:04.211,-1.0
18:55:04.414,-1.0
18:55:04.616,-1.0
18:55:04.817,-1.0
18:55:05.018,-1.0
18:55:05.221,-1.0
18:55:05.422,-1.0
18:55:05.626,-1.0
18:55:05.829,-1.0
18:55:06.030,-1.0
18:55:06.234,-1.0
18:55:06.436,-1.0
18:55:06.637,-1.0
18:55:06.840,-1.0
18:55:07.043,-1.0
18:55:07.247,-1.0
18:55:07.449,-1.0
18:55:07.655,-1.0
18:55:07.858,-1.0
18:55:08.062,-1.0
18:55:08.267,-1.0
18:55:08.469,-1.0
18:55:08.671,-1.0
18:55:08.874,-1.0
18:55:09.075,-1.0
18:55:09.334,-1.0
18:55:09.542,-1.0
18:55:09.790,-1.0
18:55:10.023,-1.0
18:55:10.227,-1.0
18:55:10.443,-1.0
18:55:10.646,-1.0
18:55:10.849,-1.0
18:55:11.052,-1.0
18:55:11.253,-1.0
18:55:11.457,-1.0
18:55:11.659,-1.0
18:55:11.860,-1.0
18:55:12.062,-1.0
18:55:12.268,-1.0
18:55:12.469,-1.0
18:55:12.671,-1.0
18:55:12.872,-1.0
18:55:13.075,-1.0
18:55:13.276,-1.0
18:55:13.479,-1.0
18:55:13.682,-1.0
18:55:13.903,-1.0
18:55:14.113,-1.0
18:55:14.334,-1.0
18:55:14.541,-1.0
18:55:14.746,-1.0
18:55:14.947,-1.0
18:55:15.149,-1.0
18:55:15.350,-1.0
18:55:15.551,-1.0
18:55:15.753,-1.0
18:55:15.955,-1.0
18:55:16.157,-1.0
18:55:16.360,-1.0
18:55:16.561,-1.0
18:55:16.762,-1.0
18:55:16.965,-1.0
18:55:17.167,-1.0
18:55:17.369,-1.0
18:55:17.571,-1.0
18:55:17.773,-1.0
18:55:17.996,-1.0
18:55:18.205,-1.0
18:55:18.407,-1.0
18:55:18.618,-1.0
18:55:18.823,-1.0
18:55:19.028,-1.0
18:55:19.233,-1.0
18:55:19.440,-1.0
18:55:19.641,-1.0
18:55:19.843,-1.0
18:55:20.045,-1.0
18:55:20.247,-1.0
18:55:20.448,-1.0
18:55:20.649,-1.0
18:55:20.852,-1.0
18:55:21.054,-1.0
18:55:21.255,-1.0
18:55:21.456,-1.0
18:55:21.659,-1.0
18:55:21.861,-1.0
18:55:22.063,-1.0
18:55:22.265,-1.0
18:55:22.468,-1.0
18:55:22.670,-1.0
18:55:22.871,-1.0
18:55:23.074,-1.0
18:55:23.288,-1.0
18:55:23.490,-1.0
18:55:23.733,-1.0
18:55:23.938,-1.0
18:55:24.152,-1.0
18:55:24.358,-1.0
18:55:24.560,-1.0
18:55:24.762,-1.0
18:55:24.965,-1.0
18:55:25.169,-1.0
18:55:25.371,-1.0
18:55:25.572,-1.0
18:55:25.774,-1.0
18:55:25.977,-1.0
18:55:26.178,-1.0
18:55:26.379,-1.0
18:55:26.581,-1.0
18:55:26.783,-1.0
18:55:26.984,-1.0
18:55:27.189,-1.0
18:55:27.394,-1.0
18:55:27.614,-1.0
18:55:27.832,-1.0
18:55:28.062,-1.0
18:55:28.267,-1.0
18:55:28.469,-1.0
18:55:28.671,-1.0
18:55:28.873,-1.0
18:55:29.075,-1.0
18:55:29.277,-1.0
18:55:29.478,-1.0
18:55:29.680,-1.0
18:55:29.881,-1.0
18:55:30.083,-1.0
18:55:30.286,-1.0
18:55:30.488,-1.0
18:55:30.691,-1.0
18:55:30.893,-1.0
18:55:31.100,-1.0
18:55:31.304,-1.0
18:55:31.506,-1.0
18:55:31.717,-1.0
18:55:31.931,-1.0
18:55:32.135,-1.0
18:55:32.336,-1.0
18:55:32.541,-1.0
18:55:32.742,-1.0
18:55:32.945,-1.0
18:55:33.147,-1.0
18:55:33.348,-1.0
18:55:33.550,-1.0
18:55:33.752,-1.0
18:55:33.953,-1.0
18:55:34.154,-1.0
18:55:34.355,-1.0
18:55:34.557,-1.0
18:55:34.759,-1.0
18:55:34.960,-1.0
18:55:35.164,-1.0
18:55:38.901,-1.0
18:55:39.112,-1.0
18:55:39.343,-1.0
18:55:39.546,-1.0
18:55:39.756,-1.0
18:55:39.962,-1.0
18:55:40.164,-1.0
18:55:40.367,-1.0
18:55:40.570,-1.0
18:55:40.772,-1.0
18:55:40.973,-1.0
18:55:41.174,-1.0
18:55:41.377,-1.0
18:55:41.579,-1.0
18:55:41.782,-1.0
18:55:41.984,-1.0
18:55:42.186,-1.0
18:55:42.390,-1.0
18:55:42.592,-1.0
18:55:42.797,-1.0
18:55:43.000,-1.0
18:55:43.217,-1.0
18:55:43.471,-1.0
18:55:43.674,-1.0
18:55:43.896,-1.0
18:55:44.106,-1.0
18:55:44.308,-1.0
18:55:44.526,-1.0
18:55:44.728,-1.0
18:55:44.930,-1.0
18:55:45.132,-1.0
18:55:45.335,-1.0
18:55:45.537,-1.0
18:55:45.739,-1.0
18:55:45.940,-1.0
18:55:46.142,-1.0
18:55:46.344,-1.0
18:55:46.546,-1.0
18:55:46.747,-1.0
18:55:46.949,-1.0
18:55:47.151,-1.0
18:55:47.352,-1.0
18:55:47.559,-1.0
18:55:47.773,-1.0
18:55:47.977,-1.0
18:55:48.186,-1.0
18:55:48.413,-1.0
18:55:48.615,-1.0
18:55:48.829,-1.0
18:55:49.034,-1.0
18:55:49.235,-1.0
18:55:49.445,-1.0
18:55:49.646,-1.0
18:55:49.848,-1.0
18:55:50.052,-1.0
18:55:50.254,-1.0
18:55:50.457,-1.0
18:55:50.659,-1.0
18:55:50.860,-1.0
18:55:51.061,-1.0
18:55:51.264,-1.0
18:55:51.466,-1.0
18:55:51.668,-1.0
18:55:51.869,-1.0
18:55:52.071,-1.0
18:55:52.273,-1.0
18:55:52.474,-1.0
18:55:52.676,-1.0
18:55:52.878,-1.0
18:55:53.080,-1.0
18:55:53.283,-1.0
18:55:53.486,-1.0
18:55:53.689,-1.0
18:55:53.890,-1.0
18:55:54.093,-1.0
18:55:54.295,-1.0
18:55:54.499,-1.0
18:55:54.700,-1.0
18:55:54.902,-1.0
18:55:55.103,-1.0
18:55:55.306,-1.0
18:55:55.511,-1.0
18:55:55.721,-1.0
18:55:55.951,-1.0
18:55:56.197,-1.0
18:55:56.403,-1.0
18:55:56.606,-1.0
18:55:56.807,-1.0
18:55:57.008,-1.0
18:55:57.210,-1.0
18:55:57.412,-1.0
18:55:57.613,-1.0
18:55:57.817,-1.0
18:55:58.019,-1.0
18:55:58.223,-1.0
18:55:58.426,-1.0
18:55:58.628,-1.0
18:55:58.829,-1.0
18:55:59.031,-1.0
18:55:59.233,-1.0
18:55:59.436,-1.0
18:55:59.642,-1.0
18:55:59.852,-1.0
18:56:00.060,-1.0
18:56:00.277,-1.0
18:56:00.487,-1.0
18:56:00.690,-1.0
18:56:00.892,-1.0
18:56:01.095,-1.0
18:56:01.301,-1.0
18:56:01.506,-1.0
18:56:01.710,-1.0
18:56:01.913,-1.0
18:56:02.114,-1.0
18:56:02.316,-1.0
18:56:02.520,-1.0
18:56:02.721,-1.0
18:56:02.923,-1.0
18:56:03.124,-1.0
18:56:03.330,-1.0
18:56:03.531,-1.0
18:56:03.732,-1.0
18:56:03.935,-1.0
18:56:04.141,-1.0
18:56:04.370,-1.0
18:56:04.628,-1.0
18:56:04.834,-1.0
18:56:05.037,-1.0
18:56:05.238,-1.0
18:56:05.440,-1.0
18:56:05.642,-1.0
18:56:05.845,-1.0
18:56:06.047,-1.0
18:56:06.250,-1.0
18:56:06.451,-1.0
18:56:06.653,-1.0
18:56:06.854,-1.0
18:56:07.056,-1.0
18:56:07.257,-1.0
18:56:07.459,-1.0
18:56:07.661,-1.0
18:56:07.864,-1.0
18:56:08.078,-1.0
18:56:08.284,-1.0
18:56:08.488,-1.0
18:56:08.706,-1.0
18:56:08.943,-1.0
18:56:09.147,-1.0
18:56:09.351,-1.0
18:56:09.555,-1.0
18:56:09.756,-1.0
18:56:09.958,-1.0
18:56:10.161,-1.0
18:56:10.365,-1.0
18:56:10.566,-1.0
18:56:10.768,-1.0
18:56:10.970,-1.0
18:56:14.753,-1.0
18:56:14.956,-1.0
18:56:15.158,-1.0
18:56:15.360,-1.0
18:56:15.566,-1.0
18:56:15.793,-1.0
18:56:16.015,-1.0
18:56:16.221,-1.0
18:56:16.441,-1.0
18:56:16.663,-1.0
18:56:16.864,-1.0
18:56:17.066,-1.0
18:56:17.269,-1.0
18:56:17.472,-1.0
18:56:17.674,-1.0
18:56:17.876,-1.0
