,CHUTE_ALT_MIN,OA_DB_ALT_MIN,ADSB_LIST_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,RTL_SPEED,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG,RNGFND8_WSP_MAVG,RNGFND9_WSP_MAVG,RNGFNDA_WSP_MAVG,LGR_DEPLOY_ALT,RTL_CONE_SLOPE,EK3_GPS_VACC_MAX,LGR_RETRACT_ALT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD
20:00:13.490,6291.0,0.0,0.0,0.4,0.6,650.0,1.0,0.1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,10.1,0.0,0.0,2.0,6.0
20:00:17.014,15170.0,0.0,0.0,0.0,1.5,230.0,1.0,0.1,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,4.1,0.0,593.0,5.5,3.5
20:00:22.052,21327.0,0.0,0.0,0.1,0.7,970.0,1.0,0.1,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,8.5,9.4,1000.0,2.0,2.0
20:00:27.092,17824.0,0.0,0.0,0.6,0.9,0.0,1.0,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.5,7.9,0.0,5.0,5.0
20:00:31.262,32000.0,0.0,0.0,0.6,0.9,660.0,1.0,0.1,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,4.6,2.2,0.0,6.0,2.0
20:00:35.754,10922.0,0.0,0.0,0.0,2.0,160.0,1.0,0.1,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.2,1.2,1000.0,3.5,3.5
20:00:42.361,23561.0,0.0,0.0,1.1,1.8,1000.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,6.4,1.8,0.0,5.5,4.0
20:00:51.181,22862.0,0.0,0.0,0.1,2.0,840.0,1.0,0.1,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,7.3,1.8,347.0,3.5,5.0
20:00:55.896,17277.0,0.0,0.0,0.8,1.0,230.0,1.0,0.1,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.5,7.5,176.0,5.5,3.5
20:01:02.118,0.0,0.0,0.0,1.1,1.0,590.0,1.0,0.1,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.5,10.1,1000.0,2.0,4.5
20:01:12.374,32000.0,0.0,0.0,1.1,1.5,790.0,1.0,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.5,0.5,0.0,4.5,2.0
20:01:17.533,0.0,0.0,0.0,0.4,1.7,110.0,1.0,0.1,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,7.9,6.1,189.0,6.0,2.0
20:01:26.299,6324.0,0.0,0.0,0.7,1.5,0.0,1.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3.7,6.8,59.0,6.0,2.0
20:01:31.229,32000.0,0.0,0.0,0.9,2.0,0.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,3.1,10.1,837.0,4.5,5.0
20:01:36.343,10286.0,0.0,0.0,0.5,2.0,710.0,1.0,0.1,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,10.1,9.9,361.0,6.0,5.5
20:01:40.510,10905.0,0.0,0.0,1.1,0.2,820.0,1.0,0.1,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.4,7.0,0.0,4.5,4.0
20:01:46.096,32000.0,0.0,0.0,0.5,0.5,1000.0,1.0,0.1,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6.9,1000.0,6.0,3.0
20:01:50.321,14255.0,0.0,0.0,0.4,0.6,840.0,1.0,0.1,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,10.1,3.6,152.0,5.5,3.5
20:01:54.916,7929.0,0.0,0.0,1.0,0.0,780.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,10.1,9.2,922.0,5.0,3.5
20:02:03.030,12983.0,0.0,0.0,1.1,0.6,810.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,7.4,0.0,188.0,6.0,2.5
20:02:07.552,9346.0,0.0,0.0,0.0,0.2,0.0,1.0,0.1,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,3.7,3.8,941.0,3.0,2.0
20:02:12.093,16529.0,0.0,0.0,1.1,2.0,90.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,9.8,0.0,230.0,5.5,2.5
20:02:19.498,0.0,0.0,0.0,0.0,0.2,1000.0,1.0,0.1,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.0,0.5,5.0,651.0,6.0,2.0
20:02:23.604,32000.0,0.0,0.0,0.5,0.1,1000.0,1.0,0.1,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,6.0,10.1,416.0,3.5,5.0
20:02:29.425,1850.0,0.0,0.0,1.1,1.5,1000.0,1.0,0.1,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.0,3.6,50.0,3.0,5.5
20:02:37.453,0.0,0.0,0.0,0.9,0.9,1000.0,1.0,0.1,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,6.0,5.0
20:02:41.838,31157.0,0.0,0.0,1.0,0.9,1000.0,1.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,2.7,0.5,802.0,3.0,2.0
20:02:47.238,32000.0,0.0,0.0,0.0,1.5,440.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,7.9,8.3,162.0,5.0,6.0
20:02:51.694,15751.0,0.0,0.0,0.8,2.0,160.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5,10.1,459.0,6.0,2.0
