,CHUTE_ALT_MIN,OA_DB_ALT_MIN,ADSB_LIST_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,RTL_SPEED,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG,RNGFND8_WSP_MAVG,RNGFND9_WSP_MAVG,RNGFNDA_WSP_MAVG,LGR_DEPLOY_ALT,RTL_CONE_SLOPE,EK3_GPS_VACC_MAX,LGR_RETRACT_ALT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD
12:15:14.438,4540.0,0.0,0.0,0.4,0.4,40.0,1.0,0.1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,8.2,1.5,694.0,3.5,2.5
12:15:18.496,2672.0,0.0,0.0,0.2,1.4,370.0,1.0,0.1,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,2.3,8.9,602.0,4.5,2.5
12:15:22.859,13131.0,0.0,0.0,0.3,0.9,10.0,1.0,0.1,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,3.8,8.9,128.0,2.5,4.0
12:15:27.487,13688.0,0.0,0.0,0.7,0.4,290.0,1.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1.6,2.9,255.0,4.5,4.5
12:15:32.539,2474.0,0.0,0.0,0.4,1.1,150.0,1.0,0.1,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,4.2,5.2,151.0,4.0,2.5
12:15:36.593,5194.0,0.0,0.0,0.9,1.7,30.0,1.0,0.1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.4,2.1,708.0,3.5,4.0
12:15:40.692,135.0,0.0,0.0,0.5,0.2,210.0,1.0,0.1,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,5.4,1.6,436.0,3.0,5.0
12:15:44.730,7809.0,0.0,0.0,0.5,1.3,80.0,1.0,0.1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,1.4,3.8,29.0,5.0,5.0
12:15:48.916,14738.0,0.0,0.0,0.2,0.9,700.0,1.0,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,6.8,4.5,502.0,2.5,2.5
12:15:53.019,7733.0,0.0,0.0,0.4,0.9,240.0,1.0,0.1,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,3.5,6.1,276.0,4.0,5.0
12:15:58.362,4869.0,0.0,0.0,0.2,0.2,110.0,1.0,0.1,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,4.9,1.6,29.0,3.0,4.5
12:16:03.897,4355.0,0.0,0.0,0.3,0.5,290.0,1.0,0.1,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.8,2.4,967.0,3.5,3.0
12:16:08.531,91.0,0.0,0.0,0.3,0.7,480.0,1.0,0.1,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1.9,7.5,106.0,4.5,5.5
12:16:12.588,14337.0,0.0,0.0,0.9,1.3,20.0,1.0,0.1,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.0,3.5,9.5,166.0,3.5,4.5
12:16:16.625,24814.0,0.0,0.0,0.3,0.5,220.0,1.0,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.8,8.7,230.0,4.0,6.0
