,A.RTL3
13:12:47.065,-1.0
13:12:47.266,-1.0
13:12:47.467,-1.0
13:12:47.669,-1.0
13:12:47.870,-1.0
13:12:48.071,-1.0
13:12:48.272,-1.0
13:12:48.474,-1.0
13:12:48.675,-1.0
13:12:48.877,-1.0
13:12:49.078,-1.0
13:12:49.279,-1.0
13:12:49.481,-1.0
13:12:49.681,-1.0
13:12:49.882,-1.0
13:12:50.083,-1.0
13:12:50.286,-1.0
13:12:50.486,-1.0
13:12:50.688,-1.0
13:12:50.892,-1.0
13:12:51.093,-1.0
13:12:51.294,-1.0
13:12:51.495,-1.0
13:12:51.696,-1.0
13:12:51.897,-1.0
13:12:52.098,-1.0
13:12:52.299,-1.0
13:12:52.502,-1.0
13:12:52.703,-1.0
13:12:52.906,-1.0
13:12:53.107,-1.0
13:12:53.308,-1.0
13:12:53.508,-1.0
13:12:53.709,-1.0
13:12:53.911,-1.0
13:12:54.113,-1.0
13:12:54.314,-1.0
13:12:54.515,-1.0
13:12:54.716,-1.0
13:12:54.917,-1.0
13:12:55.118,-1.0
13:12:55.318,-1.0
13:12:55.519,-1.0
13:12:55.720,-1.0
13:12:55.921,-1.0
13:12:56.122,-1.0
13:12:56.324,-1.0
13:12:56.526,-1.0
13:12:56.729,-1.0
13:12:56.931,-1.0
13:12:57.132,-1.0
13:12:57.333,-1.0
13:12:57.535,-1.0
13:12:57.736,-1.0
13:12:57.937,-1.0
13:12:58.137,-1.0
13:12:58.338,-1.0
13:12:58.540,-1.0
13:12:58.741,-1.0
13:12:58.942,-1.0
13:13:04.168,-1.0
13:13:04.369,-1.0
13:13:04.571,-1.0
13:13:04.773,-1.0
13:13:04.975,-1.0
13:13:05.176,-1.0
13:13:05.377,-1.0
13:13:05.578,-1.0
13:13:05.779,-1.0
13:13:05.980,-1.0
13:13:06.181,-1.0
13:13:06.383,-1.0
13:13:06.584,-1.0
13:13:06.785,-1.0
13:13:06.986,-1.0
13:13:07.187,-1.0
13:13:07.388,-1.0
13:13:07.589,-1.0
13:13:07.790,-1.0
13:13:07.991,-1.0
13:13:08.192,-1.0
13:13:08.393,-1.0
13:13:08.594,-1.0
13:13:08.795,-1.0
13:13:08.997,-1.0
13:13:09.199,-1.0
13:13:09.401,-1.0
13:13:09.601,-1.0
13:13:09.802,-1.0
13:13:10.004,-1.0
13:13:10.204,-1.0
13:13:10.405,-1.0
13:13:10.607,-1.0
13:13:10.808,-1.0
13:13:11.009,-1.0
13:13:11.211,-1.0
13:13:11.412,-1.0
13:13:11.613,-1.0
13:13:11.814,-1.0
13:13:12.016,-1.0
13:13:12.217,-1.0
13:13:12.418,-1.0
13:13:12.619,-1.0
13:13:12.820,-1.0
13:13:13.021,-1.0
13:13:13.222,-1.0
13:13:13.423,-1.0
13:13:13.624,-1.0
13:13:13.826,-1.0
13:13:14.027,-1.0
13:13:14.228,-1.0
13:13:14.428,-1.0
13:13:14.629,-1.0
13:13:14.831,-1.0
13:13:15.032,-1.0
13:13:15.233,-1.0
13:13:15.434,-1.0
13:13:15.636,-1.0
13:13:15.838,-1.0
13:13:16.039,-1.0
13:13:16.240,-1.0
13:13:16.442,-1.0
13:13:16.643,-1.0
13:13:16.844,-1.0
13:13:17.045,-1.0
13:13:17.246,-1.0
13:13:17.447,-1.0
13:13:17.648,-1.0
13:13:17.849,-1.0
13:13:18.051,-1.0
13:13:18.251,-1.0
13:13:18.452,-1.0
13:13:18.655,-1.0
13:13:18.856,-1.0
13:13:19.057,-1.0
13:13:19.259,-1.0
13:13:19.460,-1.0
13:13:19.662,-1.0
13:13:19.863,-1.0
13:13:20.064,-1.0
13:13:20.265,-1.0
13:13:20.469,-1.0
13:13:20.670,-1.0
13:13:20.871,-1.0
13:13:21.072,-1.0
13:13:21.274,-1.0
13:13:21.475,-1.0
13:13:21.676,-1.0
13:13:21.877,-1.0
13:13:22.078,-1.0
13:13:22.279,-1.0
13:13:22.481,-1.0
13:13:22.682,-1.0
13:13:22.883,-1.0
13:13:23.083,-1.0
13:13:23.284,-1.0
13:13:23.485,-1.0
13:13:23.686,-1.0
13:13:23.888,-1.0
13:13:24.089,-1.0
13:13:24.290,-1.0
13:13:24.491,-1.0
13:13:24.692,-1.0
13:13:24.894,-1.0
13:13:25.095,-1.0
13:13:25.296,-1.0
13:13:25.498,-1.0
13:13:25.699,-1.0
13:13:25.900,-1.0
13:13:26.101,-1.0
13:13:26.302,-1.0
13:13:26.503,-1.0
13:13:26.704,-1.0
13:13:26.906,-1.0
13:13:27.107,-1.0
13:13:27.308,-1.0
13:13:27.509,-1.0
13:13:27.710,-1.0
13:13:27.911,-1.0
13:13:28.112,-1.0
13:13:28.312,-1.0
13:13:28.514,-1.0
13:13:28.715,-1.0
13:13:28.916,-1.0
13:13:29.198,-1.0
13:13:29.399,-1.0
13:13:29.600,-1.0
13:13:29.802,-1.0
13:13:30.003,-1.0
13:13:30.204,-1.0
13:13:30.405,-1.0
13:13:30.608,-1.0
13:13:30.809,-1.0
13:13:31.010,-1.0
13:13:31.211,-1.0
13:13:31.412,-1.0
13:13:31.613,-1.0
13:13:31.814,-1.0
13:13:32.015,-1.0
13:13:32.216,-1.0
13:13:32.420,-1.0
13:13:32.621,-1.0
13:13:32.822,-1.0
13:13:33.023,-1.0
13:13:33.306,-1.0
13:13:33.507,-1.0
13:13:33.708,-1.0
13:13:33.909,-1.0
13:13:34.110,-1.0
13:13:34.312,-1.0
13:13:34.513,-1.0
13:13:34.714,-1.0
13:13:34.915,-1.0
13:13:35.116,-1.0
13:13:35.318,-1.0
13:13:35.519,-1.0
13:13:35.721,-1.0
13:13:35.922,-1.0
13:13:36.123,-1.0
13:13:36.324,-1.0
13:13:36.525,-1.0
13:13:36.726,-1.0
13:13:36.928,-1.0
13:13:37.129,-1.0
13:13:37.404,-1.0
13:13:37.605,-1.0
13:13:37.807,-1.0
13:13:38.008,-1.0
13:13:38.209,-1.0
13:13:38.410,-1.0
13:13:38.611,-1.0
13:13:38.812,-1.0
13:13:39.014,-1.0
13:13:39.215,-1.0
13:13:39.416,-1.0
13:13:39.617,-1.0
13:13:39.818,-1.0
13:13:40.019,-1.0
13:13:40.220,-1.0
13:13:40.421,-1.0
13:13:40.622,-1.0
13:13:40.824,-1.0
13:13:41.025,-1.0
13:13:41.226,-1.0
13:13:41.428,-1.0
13:13:41.629,-1.0
13:13:41.830,-1.0
13:13:42.032,-1.0
13:13:42.233,-1.0
13:13:42.434,-1.0
13:13:42.635,-1.0
13:13:42.836,-1.0
13:13:43.037,-1.0
13:13:43.238,-1.0
13:13:43.439,-1.0
13:13:43.640,-1.0
13:13:43.841,-1.0
13:13:44.042,-1.0
13:13:44.243,-1.0
13:13:44.444,-1.0
13:13:44.645,-1.0
13:13:44.845,-1.0
13:13:45.047,-1.0
13:13:45.248,-1.0
13:13:45.471,-1.0
13:13:45.672,-1.0
13:13:45.874,-1.0
13:13:46.075,-1.0
13:13:46.276,-1.0
13:13:46.478,-1.0
13:13:46.679,-1.0
13:13:46.881,-1.0
13:13:47.084,-1.0
13:13:47.285,-1.0
13:13:47.486,-1.0
13:13:47.687,-1.0
13:13:47.888,-1.0
13:13:48.088,-1.0
13:13:48.289,-1.0
13:13:48.491,-1.0
13:13:48.692,-1.0
13:13:48.893,-1.0
13:13:49.094,-1.0
13:13:49.296,-1.0
13:13:49.517,-1.0
13:13:49.718,-1.0
13:13:49.919,-1.0
13:13:50.120,-1.0
13:13:50.321,-1.0
13:13:50.522,-1.0
13:13:50.723,-1.0
13:13:50.925,-1.0
13:13:51.126,-1.0
13:13:51.327,-1.0
13:13:51.528,-1.0
13:13:51.729,-1.0
13:13:51.930,-1.0
13:13:52.131,-1.0
13:13:52.332,-1.0
13:13:52.533,-1.0
13:13:52.734,-1.0
13:13:52.935,-1.0
13:13:53.137,-1.0
13:13:53.337,-1.0
13:13:53.541,-1.0
13:13:53.742,-1.0
13:13:53.944,-1.0
13:13:54.145,-1.0
13:13:54.347,-1.0
13:13:54.548,-1.0
13:13:54.748,-1.0
13:13:54.950,-1.0
13:13:55.151,-1.0
13:13:55.352,-1.0
13:13:55.553,-1.0
13:13:55.754,-1.0
13:13:55.955,-1.0
13:13:56.156,-1.0
13:13:56.357,-1.0
13:13:56.558,-1.0
13:13:56.759,-1.0
13:13:56.959,-1.0
13:13:57.161,-1.0
13:13:57.362,-1.0
13:13:57.564,-1.0
13:13:57.766,-1.0
13:13:57.968,-1.0
13:13:58.170,-1.0
13:13:58.372,-1.0
13:13:58.573,-1.0
13:13:58.774,-1.0
13:13:58.976,-1.0
13:13:59.179,-1.0
13:13:59.381,-1.0
13:13:59.582,-1.0
13:13:59.783,-1.0
13:13:59.984,-1.0
13:14:00.186,-1.0
13:14:00.387,-1.0
13:14:00.588,-1.0
13:14:00.789,-1.0
13:14:00.990,-1.0
13:14:01.192,-1.0
13:14:01.393,-1.0
13:14:01.594,-1.0
13:14:01.795,-1.0
13:14:01.997,-1.0
13:14:02.198,-1.0
13:14:02.399,-1.0
