,A.RTL3
17:10:27.820,-1.0
17:10:28.027,-1.0
17:10:28.228,-1.0
17:10:28.430,-1.0
17:10:28.633,-1.0
17:10:28.835,-1.0
17:10:29.036,-1.0
17:10:29.244,-1.0
17:10:29.446,-1.0
17:10:49.859,-1.0
17:10:50.060,-1.0
17:10:50.262,-1.0
17:10:50.463,-1.0
17:10:50.664,-1.0
17:10:50.866,-1.0
17:10:51.069,-1.0
17:10:51.270,-1.0
17:10:51.472,-1.0
17:10:51.673,-1.0
17:10:51.878,-1.0
17:10:52.093,-1.0
17:10:52.296,-1.0
17:10:52.498,-1.0
17:10:52.702,-1.0
17:10:52.905,-1.0
17:10:53.107,-1.0
17:10:53.309,-1.0
17:10:53.510,-1.0
17:10:53.716,-1.0
17:10:53.919,-1.0
17:10:54.122,-1.0
17:10:54.323,-1.0
17:10:54.524,-1.0
17:10:54.726,-1.0
17:10:54.930,-1.0
17:10:55.132,-1.0
17:10:55.333,-1.0
17:10:55.539,-1.0
17:10:55.741,-1.0
17:10:55.942,-1.0
17:10:56.148,-1.0
17:10:56.350,-1.0
17:10:56.551,-1.0
17:10:56.753,-1.0
17:10:56.955,-1.0
17:10:57.158,-1.0
17:10:57.360,-1.0
17:10:57.561,-1.0
17:10:57.763,-1.0
17:10:57.965,-1.0
17:10:58.166,-1.0
17:10:58.367,-1.0
17:10:58.569,-1.0
17:10:58.770,-1.0
17:10:58.972,-1.0
17:10:59.175,-1.0
17:10:59.376,-1.0
17:10:59.578,-1.0
17:10:59.780,-1.0
17:10:59.982,-1.0
17:11:00.183,-1.0
17:11:00.385,-1.0
17:11:00.587,-1.0
17:11:00.788,-1.0
17:11:00.992,-1.0
17:11:01.195,-1.0
17:11:01.396,-1.0
17:11:01.598,-1.0
17:11:01.800,-1.0
17:11:02.002,-1.0
17:11:02.203,-1.0
17:11:02.404,-1.0
17:11:02.606,-1.0
17:11:02.808,-1.0
17:11:03.012,-1.0
17:11:03.215,-1.0
17:11:03.417,-1.0
17:11:03.620,-1.0
17:11:03.822,-1.0
17:11:04.030,-1.0
17:11:04.231,-1.0
17:11:04.433,-1.0
17:11:04.635,-1.0
17:11:04.837,-1.0
17:11:05.037,-1.0
17:11:05.239,-1.0
17:11:05.441,-1.0
17:11:05.644,-1.0
17:11:05.845,-1.0
17:11:06.046,-1.0
17:11:06.248,-1.0
17:11:06.450,-1.0
17:11:06.651,-1.0
17:11:06.854,-1.0
17:11:07.057,-1.0
17:11:07.259,-1.0
17:11:07.461,-1.0
17:11:07.663,-1.0
17:11:07.864,-1.0
17:11:08.066,-1.0
17:11:08.268,-1.0
17:11:08.471,-1.0
17:11:08.673,-1.0
17:11:08.875,-1.0
17:11:09.076,-1.0
17:11:09.279,-1.0
17:11:09.480,-1.0
17:11:09.687,-1.0
