,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
05:05:09.218,300000.0,0.2,0.0,10.1,0.25
05:05:13.246,200.0,0.5,2.0,-10.0,0.25
05:05:17.281,275899.0,0.7,0.6,10.1,0.25
05:05:21.312,216151.0,0.3,0.0,-10.0,0.25
05:05:25.331,91164.0,0.8,1.7,-7.3,0.25
05:05:29.365,186557.0,0.5,0.0,-1.1,0.25
05:05:33.388,200.0,0.7,1.1,0.2,0.25
05:05:37.409,183041.0,0.7,0.7,9.1,0.25
05:05:41.424,6185.0,0.2,2.0,-6.3,0.25
05:05:45.443,200.0,0.8,1.8,-10.0,0.25
05:05:49.486,55785.0,0.6,0.5,6.8,0.25
05:05:53.510,193270.0,0.7,0.6,1.9,0.25
05:05:57.036,34495.0,0.4,2.0,-10.0,0.25
05:06:01.052,7942.0,0.0,0.7,1.7,0.25
05:06:05.083,275833.0,0.5,2.0,10.1,0.25
05:06:09.108,252415.0,1.1,0.9,-8.2,0.25
05:06:13.135,89646.0,0.5,0.9,-9.9,0.25
05:06:17.185,300000.0,0.8,1.7,10.1,0.25
05:06:21.219,115942.0,0.8,0.8,-10.0,0.25
05:06:25.246,161423.0,0.0,0.5,3.5,0.25
05:06:29.293,234466.0,1.1,0.0,2.7,0.25
05:06:33.312,119854.0,0.6,0.5,2.4,0.25
05:06:37.327,200.0,0.1,2.0,-7.7,0.25
05:06:41.363,284899.0,0.6,2.0,10.1,0.25
05:06:45.380,200.0,0.8,0.0,-6.7,0.25
05:06:49.394,200.0,0.3,1.5,-1.7,0.25
05:06:53.421,25095.0,1.1,0.3,1.4,0.25
05:06:57.438,200.0,0.1,2.0,-10.0,0.25
05:07:01.479,300000.0,0.8,0.0,-7.4,0.25
05:07:05.513,300000.0,0.9,0.9,-8.6,0.25
05:07:09.043,139801.0,0.1,2.0,-10.0,0.25
05:07:13.078,53255.0,0.1,1.9,-10.0,0.25
05:07:17.112,300000.0,0.6,1.5,7.1,0.25
05:07:21.137,158718.0,0.7,0.0,-10.0,0.25
05:07:25.172,300000.0,0.0,2.0,10.1,0.25
05:07:29.186,200.0,0.1,0.0,-10.0,0.25
05:07:33.203,51165.0,0.6,1.8,-0.8,0.25
05:07:37.221,200.0,0.5,2.0,4.3,0.25
05:07:41.238,200.0,0.9,2.0,10.1,0.25
05:07:45.260,38561.0,1.1,2.0,7.2,0.25
05:07:49.290,196766.0,0.7,1.0,3.2,0.25
05:07:53.312,142426.0,0.8,0.5,-1.5,0.25
05:07:57.347,300000.0,0.8,1.3,-2.1,0.25
05:08:01.373,59671.0,1.1,1.9,5.9,0.25
05:08:05.391,45853.0,1.1,1.9,10.1,0.25
05:08:09.407,48551.0,0.5,0.0,-3.7,0.25
05:08:13.429,108638.0,1.0,1.8,10.1,0.25
05:08:17.476,259690.0,0.6,0.9,-0.5,0.25
05:08:21.505,256906.0,1.1,0.6,-0.2,0.25
05:08:25.034,170494.0,0.2,0.3,1.1,0.25
05:08:29.055,200.0,1.0,0.1,-6.2,0.25
05:08:33.083,157218.0,0.8,0.5,10.1,0.25
05:08:37.111,195002.0,0.5,2.0,-10.0,0.25
05:08:41.131,91664.0,0.4,2.0,-1.9,0.25
