,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
13:42:12.009,43543.0,0.4,0.3,-8.4,0.25
13:42:17.917,11645.0,0.3,0.7,-4.1,0.25
13:42:22.834,47117.0,0.3,0.3,-3.9,0.25
13:42:28.131,4843.0,0.3,0.9,-8.9,0.25
13:42:34.000,40530.0,0.2,1.2,-7.4,0.25
13:42:39.812,113623.0,0.7,0.2,-9.2,0.25
13:42:44.759,4606.0,0.2,0.4,-6.8,0.25
13:42:50.149,37228.0,0.2,0.9,-8.8,0.25
13:42:56.057,8375.0,0.2,0.2,-0.7,0.25
13:43:01.987,18151.0,0.4,0.4,-6.9,0.25
13:43:06.917,74816.0,0.3,0.7,-9.4,0.25
13:43:12.252,77154.0,0.2,0.2,-9.6,0.25
13:43:18.189,109613.0,0.2,0.2,-0.6,0.25
13:43:24.118,44888.0,0.3,0.7,0.2,0.25
13:43:30.046,94748.0,0.4,0.5,-6.8,0.25
13:43:35.944,42785.0,0.3,0.5,-7.4,0.25
13:43:40.801,9394.0,0.2,0.5,-7.4,0.25
13:43:46.203,155368.0,0.5,0.5,-8.1,0.25
13:43:52.153,31961.0,0.3,1.1,-8.1,0.25
13:43:58.116,18245.0,0.2,0.7,-7.9,0.25
13:44:04.069,52608.0,0.2,0.2,-6.2,0.25
13:44:10.088,153313.0,0.2,0.4,-9.2,0.25
13:44:16.054,55990.0,0.5,0.2,-7.9,0.25
13:44:21.823,27507.0,0.3,0.7,-8.8,0.25
13:44:26.618,173338.0,0.3,0.2,-8.9,0.25
13:44:31.979,74082.0,0.3,0.7,-7.1,0.25
13:44:36.883,3151.0,0.2,0.9,-3.3,0.25
13:44:42.194,51525.0,0.2,0.7,-4.3,0.25
13:44:47.999,9275.0,0.4,0.5,-7.2,0.25
13:44:53.854,24834.0,0.3,0.2,-5.9,0.25
13:44:58.792,39044.0,0.2,0.5,-3.7,0.25
13:45:04.152,283952.0,1.1,0.7,-0.5,0.25
13:45:10.066,3382.0,0.2,1.3,-9.6,0.25
13:45:15.908,76670.0,0.3,0.2,-7.2,0.25
13:45:20.852,6102.0,0.5,1.2,-9.6,0.25
13:45:26.046,65040.0,0.2,1.2,-6.2,0.25
13:45:31.903,59392.0,0.2,0.7,-4.3,0.25
13:45:36.772,20411.0,0.4,0.4,-5.6,0.25
13:45:42.314,100346.0,0.5,0.2,-5.3,0.25
13:45:48.082,28060.0,0.3,0.2,1.3,0.25
13:45:53.921,100831.0,0.2,0.7,-4.9,0.25
13:45:58.884,5536.0,0.5,0.5,-9.7,0.25
13:46:04.194,48781.0,0.3,0.3,-3.7,0.25
13:46:11.058,184636.0,0.2,0.2,-3.3,0.25
13:46:16.897,216407.0,0.5,0.2,-9.4,0.25
13:46:21.824,81024.0,0.3,0.2,-6.9,0.25
13:46:27.139,46909.0,0.5,0.5,-5.9,0.25
13:46:33.064,137462.0,0.2,0.5,-7.1,0.25
13:46:39.050,5630.0,0.7,0.5,-9.4,0.25
13:46:44.952,197712.0,0.4,0.4,-9.2,0.25
13:46:49.850,25109.0,0.2,0.2,2.3,0.25
13:46:55.344,161728.0,0.5,0.3,-6.8,0.25
13:47:01.304,52676.0,0.2,0.7,-4.4,0.25
13:47:07.359,39745.0,0.2,0.9,-9.4,0.25
13:47:13.351,53942.0,0.2,0.7,2.2,0.25
13:47:19.290,6714.0,0.5,0.3,-9.4,0.25
13:47:25.129,17629.0,0.4,0.5,-6.9,0.25
13:47:31.100,28114.0,0.2,0.5,2.9,0.25
13:47:37.082,33827.0,0.2,0.9,-6.8,0.25
13:47:42.977,40347.0,0.2,0.9,-5.8,0.25
13:47:47.930,100088.0,0.2,0.9,-8.2,0.25
13:47:53.270,111434.0,0.2,0.2,-7.1,0.25
13:47:59.212,118302.0,0.2,0.5,2.1,0.25
13:48:05.090,41826.0,0.3,0.2,-6.9,0.25
13:48:10.979,33471.0,0.2,0.5,-9.2,0.25
13:48:15.895,18497.0,0.2,0.3,-6.6,0.25
13:48:21.303,59659.0,0.5,0.7,-8.7,0.25
13:48:27.062,161670.0,0.2,0.4,-6.6,0.25
13:48:33.069,4515.0,0.2,0.7,-0.0,0.25
