time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE
23:11:47,-0.0012354140635579824,0.0009749446762725711,0.022173579782247543,0.00021072884555906057,0.000250614364631474,0.0016316752880811691,-35.3632622,149.1652375,7.0,-1.0,1.0,1.0,0.0,2.0,-1000.0,1.0,0.0,0.0,11521.0,AUTO
23:11:49,-0.0011939937248826027,0.0010915757156908512,0.02190395351499319,0.00024927323102019727,0.00028381592710502446,0.001538895012345165,-35.3632621,149.1652375,20.0,0.0,0.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,41161.0,AUTO
23:11:51,-0.0007457273022737354,0.0016738495323807001,0.021499479189515114,0.0003617249894887209,0.0003115933504886925,0.0014614787651225924,-35.3632621,149.1652375,27.0,0.0,0.0,-1.0,0.0,2.0,-1000.0,0.5,0.5,0.5,70801.0,AUTO
23:11:53,0.03313988633453846,-0.002786599099636078,0.021171589381992817,0.04535156488418579,-0.008030371274799109,0.002911447314545512,-35.363262,149.16523765,1773.0,1.5,11.5,-148.0,0.0,-1.0,-1007.5,45.5,-7.0,2.0,70801.0,AUTO
23:11:54,0.010227329796180129,0.011603841267060488,-0.04066334920935333,-0.09124656254425645,0.015383876860141754,-0.06282201455906034,-35.363261225,149.165242325,3682.0,6.25,50.75,-146.5,3.0,-10.0,-1000.5,-90.25,16.25,-62.75,21059.0,AUTO
23:11:55,-0.04317731410264969,0.003173361183144152,-0.06926050782203674,-0.06513132527470589,0.0003623133525252342,-0.039847951382398605,-35.363260749999995,149.1652458,4829.0,3.0,27.5,-149.0,3.0,-7.0,-1000.0,-64.0,0.5,-40.0,21059.0,AUTO
23:11:57,0.0018378975801169872,0.01144235348328948,-0.11317958310246468,0.06978493183851242,0.009581709280610085,-0.0006645280518569052,-35.3632616,149.16523884999998,7899.5,-17.0,-60.5,-150.5,-5.0,14.0,-1003.5,70.0,9.5,-1.0,21059.0,AUTO
23:11:59,0.032655500806868076,-0.07126491889357567,-0.02895420789718628,-0.09984050132334232,-0.002249889075756073,0.035446359775960445,-35.363264900000004,149.16523515,11017.0,14.5,36.5,-148.0,2.0,-6.0,-994.0,-98.5,-2.0,35.0,21059.0,AUTO
23:12:00,-0.036441237200051546,0.01646325021283701,-0.1370254699140787,0.01572168432176113,0.03976379567757249,-0.08270962722599506,-35.363260874999995,149.16523795,12928.75,34.5,-2.75,-151.75,-6.5,-5.75,-1004.75,16.5,39.75,-82.5,5052.0,AUTO
23:12:01,-0.011139736510813236,0.03237053286284208,-0.18220003694295883,0.04833974502980709,0.012593702413141727,-0.033202446065843105,-35.3632591,149.16523684999999,14101.5,9.5,-21.5,-153.0,-6.5,1.0,-1001.0,48.5,12.5,-33.0,5052.0,AUTO
