,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
23:39:50.261,17548.0,0.4,0.9,-6.5,0.25
23:39:55.728,21221.0,0.4,0.4,-7.9,0.25
23:40:00.381,2415.0,0.3,0.9,-2.7,0.25
23:40:05.909,75631.0,0.7,0.3,-8.9,0.25
23:40:10.541,55742.0,0.3,0.9,-3.1,0.25
23:40:15.494,26199.0,0.2,0.5,5.6,0.25
23:40:20.126,52909.0,0.3,0.5,-6.5,0.25
23:40:25.538,116863.0,0.3,0.5,-9.4,0.25
23:40:30.069,20762.0,0.3,0.3,-6.6,0.25
23:40:35.632,56962.0,0.2,0.5,-9.6,0.25
23:40:40.156,21276.0,0.2,0.4,-3.3,0.25
23:40:45.519,110613.0,0.3,0.7,-7.4,0.25
23:40:50.040,17734.0,0.2,0.3,3.9,0.25
23:40:55.506,72788.0,0.2,0.9,-8.1,0.25
23:41:00.183,44593.0,0.3,0.4,-1.9,0.25
23:41:05.714,40249.0,0.5,0.2,-3.7,0.25
23:41:10.256,4953.0,0.5,0.2,-7.2,0.25
23:41:15.788,81485.0,0.2,0.4,-7.9,0.25
23:41:20.421,111955.0,0.2,0.2,-6.1,0.25
23:41:26.108,149074.0,0.2,1.1,-9.4,0.25
23:41:31.615,80997.0,0.2,0.4,-8.7,0.25
23:41:36.152,64667.0,0.2,0.3,-1.6,0.25
23:41:41.684,52857.0,0.5,0.3,-6.9,0.25
23:41:46.116,31578.0,0.5,0.2,-9.6,0.25
23:41:51.634,12202.0,0.3,0.7,-6.2,0.25
23:41:56.185,17399.0,0.5,0.2,-5.2,0.25
23:42:01.789,67184.0,0.3,0.2,-8.1,0.25
23:42:06.456,100616.0,0.4,0.9,-9.4,0.25
23:42:12.114,58271.0,0.3,1.2,-9.0,0.25
23:42:17.568,114517.0,0.3,0.5,-6.9,0.25
23:42:22.140,30870.0,0.2,1.1,-7.6,0.25
23:42:27.741,103834.0,0.3,0.7,-3.9,0.25
23:42:32.325,32319.0,0.2,0.5,-8.9,0.25
23:42:37.766,14785.0,0.2,1.2,-4.4,0.25
23:42:42.228,10366.0,0.4,0.7,-8.4,0.25
23:42:47.816,60952.0,0.7,0.3,-4.3,0.25
23:42:52.417,82524.0,0.2,0.2,-3.6,0.25
23:42:57.949,15718.0,0.3,0.3,-2.2,0.25
23:43:02.510,28490.0,0.7,0.7,-6.8,0.25
23:43:07.520,104242.0,0.3,0.3,-9.4,0.25
23:43:11.951,51784.0,0.7,0.3,-7.8,0.25
23:43:16.598,127608.0,0.4,0.3,-9.6,0.25
23:43:21.671,22042.0,0.4,0.7,-7.4,0.25
23:43:26.247,17679.0,1.1,0.2,-4.9,0.25
23:43:31.700,2267.0,0.7,0.9,-6.8,0.25
23:43:36.249,28183.0,0.3,0.5,-1.8,0.25
23:43:41.791,6934.0,0.2,0.3,3.1,0.25
23:43:46.431,200719.0,0.3,0.4,-9.9,0.25
23:43:51.958,121313.0,0.2,0.5,-7.9,0.25
23:43:56.575,17240.0,0.2,0.2,-5.5,0.25
23:44:01.632,45289.0,0.2,1.1,0.4,0.25
23:44:06.840,24811.0,0.5,0.5,-9.0,0.25
23:44:12.969,104407.0,0.2,0.5,-9.4,0.25
23:44:17.538,29137.0,0.5,0.7,-7.9,0.25
23:44:22.702,12121.0,0.3,0.3,9.8,0.25
23:44:27.157,40403.0,0.2,0.2,-9.4,0.25
