,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
03:14:25.996,137789.0,0.8,1.6,4.1,1.758473816155049
03:14:29.002,59879.0,0.4,1.6,9.8,1.5848497295186617
03:14:32.012,184592.0,0.1,1.8,8.1,2.629208822925311
03:14:35.023,199260.0,0.7,2.0,8.1,0.3886307071261702
03:14:38.032,164276.0,1.0,0.9,-2.5,2.4391375497451055
03:14:41.047,291778.0,0.4,1.3,4.3,1.443603659984671
03:14:44.062,218883.0,0.4,1.9,9.6,2.304743244256631
03:14:47.067,89469.0,0.9,1.8,2.1,0.3956798934326362
03:14:50.077,94849.0,0.6,1.3,-0.2,1.9148663256031069
03:14:53.083,81588.0,0.8,1.4,-1.1,1.9443973473644975
03:14:56.088,50851.0,0.4,0.5,8.7,1.8016986490763416
03:14:59.092,65173.0,0.6,1.7,-5.6,1.7146150743083306
03:15:02.101,156491.0,0.4,0.6,-5.0,1.0896016301343194
03:15:05.106,49159.0,0.3,1.5,2.8,2.958411474093364
03:15:08.111,39176.0,0.6,2.0,1.0,0.2509317553291548
03:15:11.126,263801.0,0.7,0.1,8.8,1.1990490777304759
03:15:14.138,190116.0,0.1,1.6,3.7,2.070489623624079
03:15:17.144,117630.0,0.6,0.3,3.0,0.5346160358245124
03:15:20.153,149121.0,1.0,1.4,4.7,2.4385815482101685
03:15:23.160,48519.0,0.2,0.4,4.1,1.8078108992448512
03:15:26.165,28665.0,1.0,0.9,-1.4,1.2804255778610059
03:15:29.185,170863.0,0.2,1.1,3.5,2.988436333780457
03:15:32.193,135152.0,0.3,1.2,10.0,1.8475399827032077
03:15:35.199,56259.0,0.7,1.6,1.4,2.4035527883810994
03:15:38.211,212144.0,0.7,1.8,5.9,1.247218641857894
03:15:41.224,262780.0,0.6,1.0,0.9,0.9450501599519153
03:15:44.228,21806.0,0.8,1.5,4.5,2.439741734816723
03:15:47.235,88051.0,0.6,0.4,0.2,2.420529761005523
03:15:50.239,94564.0,0.9,2.0,5.4,2.4079799270590367
03:15:53.242,66040.0,0.2,1.8,-1.3,1.7183240850845822
03:15:56.250,184289.0,0.6,1.5,-9.5,0.5578118702338901
03:15:59.262,283938.0,0.4,0.3,9.8,1.7918300773290285
03:16:02.269,142932.0,0.9,1.8,-6.5,1.3895115536205467
03:16:05.273,43845.0,0.4,1.3,-0.8,0.6325096993563626
03:16:08.290,287363.0,0.6,0.7,-1.7,2.3583706676979217
03:16:11.302,238328.0,0.1,0.5,-0.3,0.32319247655547534
03:16:14.304,41401.0,0.8,1.6,-7.8,2.5379904228396395
03:16:17.317,253111.0,0.6,1.7,-0.3,1.2013485832353195
03:16:20.328,217320.0,0.5,0.2,-0.7,1.1999364112105608
03:16:23.331,1537.0,0.2,0.6,-8.5,1.3717131815595525
03:16:26.338,182118.0,0.6,0.4,5.0,0.33218210767176526
03:16:29.346,123680.0,0.6,1.7,8.4,0.29516561265049424
03:16:32.360,187779.0,0.1,1.1,2.7,1.1907602802190078
03:16:35.364,7190.0,0.3,0.1,-2.6,1.4132162982257326
03:16:38.377,266400.0,0.4,1.4,-8.6,2.5995988846385947
03:16:41.384,40626.0,0.2,1.5,1.6,2.802989169469552
03:16:44.397,244155.0,0.7,0.1,5.9,1.135502017523124
03:16:47.421,188512.0,0.1,1.8,-9.4,0.25090405788680226
03:16:50.424,42770.0,0.2,1.2,-1.5,1.9550533537491963
03:16:53.434,180161.0,0.2,1.4,4.8,1.4909682120410461
03:16:56.453,275662.0,0.9,1.6,-2.6,1.0695519403984215
03:16:59.462,167116.0,0.9,0.6,9.5,0.26547810157532886
03:17:02.468,118133.0,0.4,1.7,-7.0,1.1773424815778568
03:17:05.478,155238.0,1.0,1.8,-5.5,1.2814386358909255
03:17:08.492,282417.0,0.7,1.2,-9.3,2.6884504612134386
03:17:11.504,236770.0,0.7,0.3,-5.4,2.3026508323407455
03:17:14.513,213662.0,0.8,0.4,0.5,1.8443865519858302
03:17:17.528,50109.0,1.0,0.7,-3.4,1.6694942664053531
03:17:20.538,159838.0,0.3,1.7,7.4,2.4716974611593976
03:17:23.548,204981.0,1.0,1.7,-6.7,1.8833489802135843
03:17:26.560,221611.0,0.5,1.3,6.8,1.7803690176333007
03:17:29.568,136476.0,0.8,1.8,-8.2,2.479183060379715
03:17:32.579,157431.0,0.1,0.5,-3.2,2.3037600460203302
03:17:35.585,136354.0,0.2,1.7,-2.3,1.3441598841776872
03:17:38.592,99734.0,0.3,1.2,6.4,1.405357730605784
03:17:41.597,45717.0,0.3,2.0,3.5,1.8754915343768077
03:17:44.606,204620.0,0.5,1.1,-7.3,1.1912513514862142
03:17:47.611,78295.0,0.4,1.0,0.8,1.321832940131393
03:17:50.623,231913.0,0.2,0.1,3.5,0.7703636177546689
03:17:53.643,284589.0,0.8,0.2,3.8,2.5237140228088966
03:17:56.662,169737.0,0.9,0.6,2.2,2.444570603712598
03:17:59.664,23681.0,1.0,1.0,4.6,2.9875948095052465
03:18:02.667,26190.0,0.8,0.2,-0.2,1.232431020247197
03:18:05.678,209279.0,0.4,0.7,6.8,0.7588739897008994
03:18:08.688,164295.0,0.2,0.4,-4.8,2.592108666931518
03:18:11.696,142098.0,0.1,1.8,3.9,0.8947538170688476
03:18:14.699,46647.0,0.1,1.4,-4.0,2.1235210642642244
03:18:17.703,81716.0,0.1,0.7,3.5,2.3178187061759226
03:18:20.711,104580.0,0.5,1.8,-8.5,2.392414992319774
03:18:23.723,208859.0,0.3,0.4,-3.0,0.41289791604453135
03:18:26.737,285491.0,0.2,0.9,2.4,0.4246185047495965
