time_stamp,MODE_AUTO,MODE_RTL,MODE_STABILIZE,relative_alt,RTL_ALT,vx,vy,vz
03:29:05.474,0,0,1,0,1500.0,-2,1,0
03:29:05.675,0,0,1,0,1500.0,-2,1,0
03:29:05.876,0,0,1,0,1500.0,-2,1,0
03:29:06.076,0,0,1,0,1500.0,-2,1,0
03:29:06.277,0,0,1,0,1500.0,-2,1,0
03:29:06.478,0,0,1,0,1500.0,-2,3,2
03:29:06.679,0,0,1,0,1500.0,-2,3,2
03:29:06.880,0,0,1,0,1500.0,-2,3,2
03:29:07.081,0,0,1,0,1500.0,-2,3,2
03:29:07.283,0,0,1,0,1500.0,-1,2,1
03:29:07.485,0,0,1,0,1500.0,-1,1,1
03:29:07.688,0,0,1,0,1500.0,-1,1,1
03:29:07.890,0,0,1,0,1500.0,-1,1,1
03:29:08.092,0,0,1,0,1500.0,-1,1,1
03:29:08.293,0,0,1,0,1500.0,-1,1,1
03:29:08.495,0,0,1,0,1500.0,-1,0,1
03:29:08.699,0,0,1,0,1500.0,-1,0,1
03:29:08.901,0,0,1,0,1500.0,-1,0,1
03:29:09.102,0,0,1,0,1500.0,-1,0,1
03:29:09.304,0,0,1,0,1500.0,-1,0,1
03:29:09.506,0,0,1,0,1500.0,-1,0,1
03:29:09.707,0,0,1,0,1500.0,-1,-1,-2
03:29:09.908,0,0,1,0,1500.0,-1,-1,-2
03:29:10.110,0,0,1,0,1500.0,-1,-1,-2
03:29:10.311,0,0,1,0,1500.0,-1,0,-1
03:29:10.512,0,0,1,0,1500.0,-1,0,-1
03:29:10.714,0,0,1,0,1500.0,-1,0,-1
03:29:10.915,0,0,1,0,1500.0,-1,0,-1
03:29:11.116,0,0,1,0,1500.0,-1,0,-1
03:29:11.318,0,0,1,0,1500.0,-1,0,-1
03:29:11.519,0,0,1,0,1500.0,-1,0,-1
03:29:11.720,0,0,1,0,1500.0,-1,0,-1
03:29:11.921,0,0,1,0,1500.0,-1,0,-1
03:29:12.123,0,0,1,0,1500.0,-1,0,-1
03:29:12.324,0,0,1,0,1500.0,-1,0,-1
03:29:12.525,0,0,1,0,1500.0,-1,1,0
03:29:12.727,0,0,1,0,1500.0,-1,1,0
03:29:12.928,0,0,1,0,1500.0,-1,1,0
03:29:13.129,0,0,1,0,1500.0,-1,1,0
03:29:13.330,0,0,1,0,1500.0,-1,1,0
03:29:13.532,0,0,1,0,1500.0,-1,1,0
03:29:13.733,0,0,1,0,1500.0,-1,1,0
03:29:13.935,0,0,1,0,1500.0,-1,1,0
03:29:14.137,0,0,1,0,1500.0,-1,1,0
03:29:14.338,0,0,1,0,1500.0,-1,1,0
03:29:14.539,0,0,1,0,1500.0,-1,1,0
03:29:14.740,0,0,1,0,1500.0,-1,1,0
03:29:14.941,0,0,1,0,1500.0,-1,1,0
03:29:15.143,0,0,1,0,1500.0,-1,1,0
03:29:15.344,0,0,1,0,1500.0,-1,1,0
03:29:15.545,0,0,1,0,1500.0,-1,1,0
03:29:15.746,0,0,1,0,1500.0,-1,1,0
03:29:15.948,0,0,1,0,1500.0,-1,1,0
03:29:16.149,0,0,1,0,1500.0,-1,1,0
03:29:16.350,0,0,1,0,1500.0,-1,1,0
03:29:16.551,0,0,1,0,1500.0,-1,1,0
03:29:16.753,0,0,1,0,1500.0,-1,1,0
03:29:16.954,0,0,1,0,1500.0,-1,1,0
03:29:17.155,0,0,1,0,1500.0,-1,1,0
03:29:17.356,0,0,1,0,1500.0,-1,1,0
03:29:17.558,0,0,1,0,1500.0,-1,1,0
03:29:17.759,0,0,1,0,1500.0,-1,1,0
03:29:17.960,0,0,1,0,1500.0,-1,1,0
03:29:18.161,0,0,1,0,1500.0,-1,1,0
03:29:18.362,0,0,1,0,1500.0,-1,1,0
03:29:18.564,0,0,1,0,1500.0,-1,1,0
03:29:18.765,0,0,1,0,1500.0,-1,1,0
03:29:18.966,0,0,1,0,1500.0,-1,1,0
03:29:19.168,0,0,1,0,1500.0,-1,1,0
03:29:19.369,0,0,1,0,1500.0,-1,1,0
03:29:19.571,0,0,1,0,1500.0,-1,1,0
03:29:19.773,1,0,0,0,1500.0,-1,2,1
03:29:19.975,1,0,0,4,102608.0,-1,2,1
03:29:20.176,1,0,0,4,102608.0,-1,2,1
03:29:20.378,1,0,0,3,102608.0,-1,2,1
03:29:20.579,1,0,0,1,102608.0,-1,1,1
03:29:20.781,1,0,0,1,102608.0,-1,1,1
03:29:20.983,1,0,0,1,102608.0,-1,1,1
03:29:21.184,1,0,0,1,102608.0,-1,1,1
03:29:21.386,1,0,0,0,102608.0,0,0,1
03:29:21.588,1,0,0,0,102608.0,0,0,1
03:29:21.789,1,0,0,0,102608.0,0,0,1
03:29:21.990,1,0,0,0,102608.0,0,0,1
03:29:22.192,1,0,0,0,102608.0,0,0,1
03:29:22.396,1,0,0,0,102608.0,0,0,1
03:29:22.599,1,0,0,0,102608.0,0,0,0
03:29:22.805,1,0,0,0,102608.0,0,0,0
03:29:23.010,1,0,0,0,248912.0,0,0,0
03:29:23.211,1,0,0,0,248912.0,0,0,2
03:29:23.412,1,0,0,0,248912.0,0,0,2
03:29:23.614,1,0,0,0,248912.0,0,0,2
03:29:23.815,1,0,0,0,248912.0,0,0,-4
03:29:24.016,1,0,0,54,248912.0,0,0,-38
03:29:24.218,1,0,0,198,248912.0,0,0,-71
03:29:24.419,1,0,0,198,248912.0,0,0,-71
03:29:24.621,1,0,0,418,248912.0,0,0,-99
03:29:24.823,1,0,0,418,248912.0,0,0,-99
03:29:25.024,1,0,0,418,248912.0,0,0,-99
03:29:25.226,1,0,0,1408,248912.0,0,4,-143
03:29:25.428,1,0,0,1408,248912.0,0,4,-143
03:29:25.630,1,0,0,1788,248912.0,1,11,-146
03:29:25.831,1,0,0,2172,26622.0,3,19,-147
03:29:26.033,1,0,0,2557,26622.0,5,30,-147
03:29:26.234,1,0,0,2942,26622.0,8,42,-147
03:29:26.436,1,0,0,2942,26622.0,8,42,-147
03:29:26.638,1,0,0,3322,26622.0,9,53,-144
03:29:26.840,1,0,0,3322,26622.0,9,53,-144
03:29:27.042,1,0,0,3322,26622.0,9,53,-144
03:29:27.244,1,0,0,4458,26622.0,0,36,-148
03:29:27.445,1,0,0,4844,26622.0,-2,25,-149
03:29:27.647,1,0,0,4844,26622.0,-2,25,-149
03:29:27.849,1,0,0,5229,26622.0,-3,12,-149
03:29:28.051,1,0,0,5617,26622.0,-4,-4,-148
03:29:28.253,1,0,0,6000,26622.0,-3,-23,-148
03:29:28.455,1,0,0,6384,26622.0,-2,-38,-149
03:29:28.657,1,0,0,6384,26622.0,-2,-38,-149
03:29:28.859,1,0,0,6384,153393.0,-2,-38,-149
03:29:29.061,1,0,0,6384,153393.0,-2,-38,-149
03:29:29.264,1,0,0,7535,153393.0,-1,-59,-150
03:29:29.465,1,0,0,7922,153393.0,-2,-58,-151
03:29:29.667,1,0,0,7922,153393.0,-2,-58,-151
03:29:29.870,1,0,0,8312,153393.0,-3,-53,-152
03:29:30.072,1,0,0,8704,153393.0,-5,-44,-153
03:29:30.274,1,0,0,9097,153393.0,-6,-31,-153
03:29:30.475,1,0,0,9491,153393.0,-7,-16,-153
03:29:30.677,1,0,0,9491,153393.0,-7,-16,-153
03:29:30.879,1,0,0,9491,153393.0,-7,-16,-153
03:29:31.081,1,0,0,9491,153393.0,-7,-16,-153
03:29:31.284,1,0,0,10657,153393.0,-6,20,-149
03:29:31.485,1,0,0,11041,153393.0,-5,22,-149
03:29:31.687,1,0,0,11041,153393.0,-5,22,-149
03:29:31.888,1,0,0,11425,129170.0,-2,20,-150
03:29:32.090,1,0,0,11810,129170.0,0,16,-151
03:29:32.292,1,0,0,12198,129170.0,0,10,-151
03:29:32.495,1,0,0,12591,129170.0,2,5,-152
03:29:32.702,1,0,0,12591,129170.0,2,5,-152
03:29:32.905,1,0,0,12591,129170.0,2,5,-152
03:29:33.107,1,0,0,12591,129170.0,2,5,-152
03:29:33.309,1,0,0,13756,129170.0,4,-4,-152
03:29:33.511,1,0,0,14146,129170.0,4,-6,-152
03:29:33.713,1,0,0,14536,129170.0,3,-6,-152
03:29:33.915,1,0,0,14536,129170.0,3,-6,-152
03:29:34.116,1,0,0,14927,129170.0,2,-5,-153
03:29:34.318,1,0,0,15317,129170.0,2,-4,-153
03:29:34.520,1,0,0,15707,129170.0,1,-2,-153
03:29:34.721,1,0,0,15707,129170.0,1,-2,-153
03:29:34.923,1,0,0,15707,56464.0,1,-2,-153
03:29:35.125,1,0,0,15707,56464.0,1,-2,-153
03:29:35.327,1,0,0,16877,56464.0,-1,2,-152
03:29:35.529,1,0,0,17271,56464.0,-2,3,-153
03:29:35.730,1,0,0,17660,56464.0,-2,4,-153
03:29:35.931,1,0,0,17660,56464.0,-2,4,-153
03:29:36.133,1,0,0,18050,56464.0,-2,5,-153
03:29:36.334,1,0,0,18439,56464.0,-2,5,-153
03:29:36.536,1,0,0,18829,56464.0,-3,6,-153
03:29:36.738,1,0,0,18829,56464.0,-3,6,-153
03:29:36.940,1,0,0,18829,56464.0,-3,6,-153
03:29:37.142,1,0,0,18829,56464.0,-3,6,-153
03:29:37.344,1,0,0,19993,56464.0,-3,5,-153
03:29:37.545,1,0,0,20383,56464.0,-3,5,-153
03:29:37.747,1,0,0,20772,56464.0,-3,5,-153
03:29:37.948,1,0,0,21162,63708.0,-3,4,-153
03:29:38.150,1,0,0,21162,63708.0,-3,4,-153
03:29:38.351,1,0,0,21552,63708.0,-3,4,-153
03:29:38.553,1,0,0,21946,63708.0,-2,4,-153
03:29:38.755,1,0,0,21946,63708.0,-2,4,-153
03:29:38.956,1,0,0,21946,63708.0,-2,4,-153
03:29:39.158,1,0,0,21946,63708.0,-2,4,-153
03:29:39.360,1,0,0,23115,63708.0,-2,3,-153
03:29:39.562,1,0,0,23504,63708.0,-2,3,-153
03:29:39.764,1,0,0,23894,63708.0,-2,3,-153
03:29:39.965,1,0,0,24291,63708.0,-2,3,-153
03:29:40.167,1,0,0,24291,63708.0,-2,3,-153
03:29:40.369,1,0,0,24680,63708.0,-2,2,-153
03:29:40.570,1,0,0,25070,63708.0,-2,2,-153
03:29:40.772,1,0,0,25070,63708.0,-2,2,-153
03:29:40.974,1,0,0,25070,151718.0,-2,2,-153
03:29:41.177,1,0,0,25070,151718.0,-2,2,-153
03:29:41.378,1,0,0,26226,151718.0,-5,-1,-153
03:29:41.580,1,0,0,26616,151718.0,-5,0,-153
03:29:41.781,1,0,0,27006,151718.0,-5,1,-153
03:29:41.983,1,0,0,27393,151718.0,-4,3,-153
03:29:42.185,1,0,0,27393,151718.0,-4,3,-153
03:29:42.386,1,0,0,27782,151718.0,-3,5,-153
03:29:42.588,1,0,0,28170,151718.0,-2,7,-153
03:29:42.790,1,0,0,28170,151718.0,-2,7,-153
03:29:42.992,1,0,0,28170,151718.0,-2,7,-153
03:29:43.208,1,0,0,28170,151718.0,-2,7,-153
03:29:43.412,1,0,0,29333,151718.0,0,8,-153
03:29:43.613,1,0,0,29721,151718.0,0,8,-153
03:29:43.815,1,0,0,30108,151718.0,0,7,-153
03:29:44.017,1,0,0,30497,51802.0,0,6,-153
