,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
12:14:05.765,-1.0,-1.0,-1.0,-1
12:14:05.979,-1.0,-1.0,-1.0,-1
12:14:06.181,-1.0,-1.0,-1.0,-1
12:14:06.383,-1.0,-1.0,-1.0,-1
12:14:06.585,-1.0,-1.0,-1.0,-1
12:14:06.787,-1.0,-1.0,-1.0,-1
12:14:06.988,-1.0,-1.0,-1.0,-1
12:14:07.190,-1.0,-1.0,-1.0,-1
12:14:07.393,-1.0,-1.0,-1.0,-1
12:14:07.595,-1.0,-1.0,-1.0,-1
12:14:07.796,-1.0,-1.0,-1.0,-1
12:14:07.998,-1.0,-1.0,-1.0,-1
12:14:08.200,-1.0,-1.0,-1.0,-1
12:14:08.401,-1.0,-1.0,-1.0,-1
12:14:08.603,-1.0,-1.0,-1.0,-1
12:14:08.805,-1.0,-1.0,-1.0,-1
12:14:09.007,-1.0,-1.0,-1.0,-1
12:14:09.209,-1.0,-1.0,-1.0,-1
12:14:09.411,-1.0,-1.0,-1.0,-1
12:14:09.613,-1.0,-1.0,-1.0,-1
12:14:09.814,-1.0,-1.0,-1.0,-1
12:14:10.016,-1.0,-1.0,-1.0,-1
12:14:10.217,-1.0,-1.0,-1.0,-1
12:14:10.420,-1.0,-1.0,-1.0,-1
12:14:10.621,-1.0,-1.0,-1.0,-1
12:14:10.823,-1.0,-1.0,-1.0,-1
12:14:11.024,-1.0,-1.0,-1.0,-1
12:14:11.227,-1.0,-1.0,-1.0,-1
12:14:11.428,-1.0,-1.0,-1.0,-1
12:14:11.630,-1.0,-1.0,-1.0,-1
12:14:11.831,-1.0,-1.0,-1.0,-1
12:14:12.033,-1.0,-1.0,-1.0,-1
12:14:12.234,-1.0,-1.0,-1.0,-1
12:14:12.436,-1.0,-1.0,-1.0,-1
12:14:12.638,-1.0,-1.0,-1.0,-1
12:14:12.840,-1.0,-1.0,-1.0,-1
12:14:13.042,-1.0,-1.0,-1.0,-1
12:14:13.244,-1.0,-1.0,-1.0,-1
12:14:13.446,-1.0,-1.0,-1.0,-1
12:14:13.647,-1.0,-1.0,-1.0,-1
12:14:13.849,-1.0,-1.0,-1.0,-1
12:14:14.050,-1.0,-1.0,-1.0,-1
12:14:14.252,-1.0,-1.0,-1.0,-1
12:14:14.453,-1.0,-1.0,-1.0,-1
12:14:14.655,-1.0,-1.0,-1.0,-1
12:14:14.856,-1.0,-1.0,-1.0,-1
12:14:15.058,-1.0,-1.0,-1.0,-1
12:14:15.260,-1.0,-1.0,-1.0,-1
12:14:15.461,-1.0,-1.0,-1.0,-1
12:14:15.663,-1.0,-1.0,-1.0,-1
12:14:15.878,-1.0,-1.0,-1.0,-1
12:14:16.081,-1.0,-1.0,-1.0,-1
12:14:16.282,-1.0,-1.0,-1.0,-1
12:14:16.484,-1.0,-1.0,-1.0,-1
12:14:17.091,-1.0,-1.0,-1.0,-1
12:14:17.292,-1.0,-1.0,-1.0,-1
12:14:17.494,-1.0,-1.0,-1.0,-1
12:14:17.695,-1.0,-1.0,-1.0,-1
12:14:17.897,-1.0,-1.0,-1.0,-1
12:14:18.099,-1.0,-1.0,-1.0,-1
12:14:18.301,-1.0,-1.0,-1.0,-1
12:14:18.503,-1.0,-1.0,-1.0,-1
12:14:18.705,-1.0,-1.0,-1.0,-1
12:14:18.907,-1.0,-1.0,-1.0,-1
12:14:22.341,-1.0,-1.0,-1.0,-1
12:14:22.543,-1.0,-1.0,-1.0,-1
12:14:22.746,-1.0,-1.0,-1.0,-1
12:14:22.947,-1.0,-1.0,-1.0,-1
12:14:23.149,-1.0,-1.0,-1.0,-1
12:14:23.351,-1.0,-1.0,-1.0,-1
12:14:23.553,-1.0,-1.0,-1.0,-1
12:14:23.755,-1.0,-1.0,-1.0,-1
12:14:23.957,-1.0,-1.0,-1.0,-1
12:14:24.159,-1.0,-1.0,-1.0,-1
12:14:24.360,-1.0,-1.0,-1.0,-1
12:14:24.562,-1.0,-1.0,-1.0,-1
12:14:24.764,-1.0,-1.0,-1.0,-1
12:14:24.966,-1.0,-1.0,-1.0,-1
12:14:25.167,-1.0,-1.0,-1.0,-1
12:14:25.369,-1.0,-1.0,-1.0,-1
12:14:25.571,-1.0,-1.0,-1.0,-1
12:14:25.773,-1.0,-1.0,-1.0,-1
12:14:25.982,-1.0,-1.0,-1.0,-1
12:14:26.187,-1.0,-1.0,-1.0,-1
12:14:26.389,-1.0,-1.0,-1.0,-1
12:14:26.592,-1.0,-1.0,-1.0,-1
12:14:26.793,-1.0,-1.0,-1.0,-1
12:14:26.995,-1.0,-1.0,-1.0,-1
12:14:27.197,-1.0,-1.0,-1.0,-1
12:14:27.399,-1.0,-1.0,-1.0,-1
12:14:27.601,-1.0,-1.0,-1.0,-1
12:14:27.803,-1.0,-1.0,-1.0,-1
12:14:28.005,-1.0,-1.0,-1.0,-1
12:14:28.206,-1.0,-1.0,-1.0,-1
12:14:28.408,-1.0,-1.0,-1.0,-1
12:14:28.610,-1.0,-1.0,-1.0,-1
12:14:28.812,-1.0,-1.0,-1.0,-1
12:14:29.013,-1.0,-1.0,-1.0,-1
12:14:29.216,-1.0,-1.0,-1.0,-1
12:14:29.418,-1.0,-1.0,-1.0,-1
12:14:29.620,-1.0,-1.0,-1.0,-1
12:14:29.822,-1.0,-1.0,-1.0,-1
12:14:30.024,-1.0,-1.0,-1.0,-1
12:14:30.226,-1.0,-1.0,-1.0,-1
12:14:30.428,-1.0,-1.0,-1.0,-1
12:14:30.629,-1.0,-1.0,-1.0,-1
12:14:30.831,-1.0,-1.0,-1.0,-1
12:14:31.033,-1.0,-1.0,-1.0,-1
12:14:31.235,-1.0,-1.0,-1.0,-1
12:14:31.437,-1.0,-1.0,-1.0,-1
12:14:31.639,-1.0,-1.0,-1.0,-1
12:14:31.841,-1.0,-1.0,-1.0,-1
12:14:32.042,-1.0,-1.0,-1.0,-1
12:14:32.244,-1.0,-1.0,-1.0,-1
12:14:32.446,-1.0,-1.0,-1.0,-1
12:14:32.647,-1.0,-1.0,-1.0,-1
12:14:32.849,-1.0,-1.0,-1.0,-1
12:14:33.051,-1.0,-1.0,-1.0,-1
12:14:33.253,-1.0,-1.0,-1.0,-1
12:14:33.455,-1.0,-1.0,-1.0,-1
12:14:33.657,-1.0,-1.0,-1.0,-1
12:14:33.859,-1.0,-1.0,-1.0,-1
12:14:34.061,-1.0,-1.0,-1.0,-1
12:14:34.262,-1.0,-1.0,-1.0,-1
12:14:34.464,-1.0,-1.0,-1.0,-1
12:14:34.666,-1.0,-1.0,-1.0,-1
12:14:34.868,-1.0,-1.0,-1.0,-1
12:14:35.070,-1.0,-1.0,-1.0,-1
12:14:35.272,-1.0,-1.0,-1.0,-1
12:14:35.474,-1.0,-1.0,-1.0,-1
12:14:35.686,-1.0,-1.0,-1.0,-1
12:14:35.888,-1.0,-1.0,-1.0,-1
12:14:36.090,-1.0,-1.0,-1.0,-1
12:14:36.292,-1.0,-1.0,-1.0,-1
12:14:36.494,-1.0,-1.0,-1.0,-1
12:14:36.696,-1.0,-1.0,-1.0,-1
12:14:36.898,-1.0,-1.0,-1.0,-1
12:14:37.101,-1.0,-1.0,-1.0,-1
12:14:37.303,-1.0,-1.0,-1.0,-1
12:14:37.504,-1.0,-1.0,-1.0,-1
12:14:37.706,-1.0,-1.0,-1.0,-1
12:14:37.908,-1.0,-1.0,-1.0,-1
12:14:38.109,-1.0,-1.0,-1.0,-1
12:14:38.311,-1.0,-1.0,-1.0,-1
12:14:38.512,-1.0,-1.0,-1.0,-1
12:14:38.714,-1.0,-1.0,-1.0,-1
12:14:38.916,-1.0,-1.0,-1.0,-1
12:14:39.118,-1.0,-1.0,-1.0,-1
12:14:39.322,-1.0,-1.0,-1.0,-1
12:14:39.526,-1.0,-1.0,-1.0,-1
12:14:39.729,-1.0,-1.0,-1.0,-1
12:14:39.931,-1.0,-1.0,-1.0,-1
12:14:40.133,-1.0,-1.0,-1.0,-1
12:14:40.336,-1.0,-1.0,-1.0,-1
12:14:40.538,-1.0,-1.0,-1.0,-1
12:14:40.740,-1.0,-1.0,-1.0,-1
12:14:40.942,-1.0,-1.0,-1.0,-1
12:14:41.143,-1.0,-1.0,-1.0,-1
12:14:41.347,-1.0,-1.0,-1.0,-1
12:14:41.549,-1.0,-1.0,-1.0,-1
12:14:41.751,-1.0,-1.0,-1.0,-1
12:14:41.953,-1.0,-1.0,-1.0,-1
12:14:42.154,-1.0,-1.0,-1.0,-1
12:14:42.356,-1.0,-1.0,-1.0,-1
12:14:42.558,-1.0,-1.0,-1.0,-1
12:14:42.760,-1.0,-1.0,-1.0,-1
12:14:42.961,-1.0,-1.0,-1.0,-1
12:14:43.163,-1.0,-1.0,-1.0,-1
12:14:43.365,-1.0,-1.0,-1.0,-1
12:14:43.567,-1.0,-1.0,-1.0,-1
12:14:43.769,-1.0,-1.0,-1.0,-1
12:14:43.971,-1.0,-1.0,-1.0,-1
12:14:44.173,-1.0,-1.0,-1.0,-1
12:14:44.375,-1.0,-1.0,-1.0,-1
12:14:44.577,-1.0,-1.0,-1.0,-1
12:14:44.778,-1.0,-1.0,-1.0,-1
12:14:44.980,-1.0,-1.0,-1.0,-1
12:14:45.183,-1.0,-1.0,-1.0,-1
12:14:45.385,-1.0,-1.0,-1.0,-1
12:14:45.588,-1.0,-1.0,-1.0,-1
12:14:45.790,-1.0,-1.0,-1.0,-1
12:14:45.993,-1.0,-1.0,-1.0,-1
12:14:46.197,-1.0,-1.0,-1.0,-1
12:14:46.398,-1.0,-1.0,-1.0,-1
12:14:46.600,-1.0,-1.0,-1.0,-1
12:14:46.802,-1.0,-1.0,-1.0,-1
12:14:47.005,-1.0,-1.0,-1.0,-1
12:14:47.207,-1.0,-1.0,-1.0,-1
12:14:47.409,-1.0,-1.0,-1.0,-1
12:14:47.612,-1.0,-1.0,-1.0,-1
12:14:47.814,-1.0,-1.0,-1.0,-1
12:14:48.016,-1.0,-1.0,-1.0,-1
12:14:48.217,-1.0,-1.0,-1.0,-1
12:14:48.419,-1.0,-1.0,-1.0,-1
12:14:48.621,-1.0,-1.0,-1.0,-1
12:14:48.823,-1.0,-1.0,-1.0,-1
12:14:49.025,-1.0,-1.0,-1.0,-1
12:14:49.227,-1.0,-1.0,-1.0,-1
12:14:49.429,-1.0,-1.0,-1.0,-1
12:14:49.631,-1.0,-1.0,-1.0,-1
12:14:49.833,-1.0,-1.0,-1.0,-1
12:14:50.035,-1.0,-1.0,-1.0,-1
12:14:50.237,-1.0,-1.0,-1.0,-1
12:14:50.439,-1.0,-1.0,-1.0,-1
12:14:50.640,-1.0,-1.0,-1.0,-1
12:14:50.842,-1.0,-1.0,-1.0,-1
12:14:51.044,-1.0,-1.0,-1.0,-1
12:14:51.246,-1.0,-1.0,-1.0,-1
12:14:51.448,-1.0,-1.0,-1.0,-1
12:14:51.650,-1.0,-1.0,-1.0,-1
12:14:51.851,-1.0,-1.0,-1.0,-1
12:14:52.053,-1.0,-1.0,-1.0,-1
12:14:52.255,-1.0,-1.0,-1.0,-1
12:14:52.457,-1.0,-1.0,-1.0,-1
12:14:52.659,-1.0,-1.0,-1.0,-1
12:14:52.860,-1.0,-1.0,-1.0,-1
12:14:53.062,-1.0,-1.0,-1.0,-1
12:14:53.264,-1.0,-1.0,-1.0,-1
12:14:53.466,-1.0,-1.0,-1.0,-1
12:14:53.668,-1.0,-1.0,-1.0,-1
12:14:53.870,-1.0,-1.0,-1.0,-1
12:14:54.072,-1.0,-1.0,-1.0,-1
12:14:54.273,-1.0,-1.0,-1.0,-1
12:14:54.475,-1.0,-1.0,-1.0,-1
12:14:54.679,-1.0,-1.0,-1.0,-1
12:14:54.881,-1.0,-1.0,-1.0,-1
12:14:55.082,-1.0,-1.0,-1.0,-1
12:14:55.284,-1.0,-1.0,-1.0,-1
12:14:55.487,-1.0,-1.0,-1.0,-1
12:14:55.689,-1.0,-1.0,-1.0,-1
12:14:55.898,-1.0,-1.0,-1.0,-1
12:14:56.100,-1.0,-1.0,-1.0,-1
12:14:56.302,-1.0,-1.0,-1.0,-1
12:14:56.504,-1.0,-1.0,-1.0,-1
12:14:56.705,-1.0,-1.0,-1.0,-1
12:14:56.907,-1.0,-1.0,-1.0,-1
12:14:57.109,-1.0,-1.0,-1.0,-1
12:14:57.311,-1.0,-1.0,-1.0,-1
12:14:57.512,-1.0,-1.0,-1.0,-1
12:14:57.715,-1.0,-1.0,-1.0,-1
12:14:57.918,-1.0,-0.99,-1.0,-1
12:14:58.120,-1.0,-0.99,-1.0,-1
12:14:58.322,-1.0,-0.99,-1.0,-1
12:14:58.525,-1.0,-0.992,-1.0,-1
12:14:58.728,-1.0,-0.992,-1.0,-1
12:14:58.929,-1.0,-0.992,-1.0,-1
12:14:59.131,-1.0,-0.992,-1.0,-1
12:14:59.333,-1.0,-0.992,-1.0,-1
12:14:59.535,-1.0,-0.992,-1.0,-1
12:14:59.737,-1.0,-0.992,-1.0,-1
12:14:59.939,-1.0,-0.992,-1.0,-1
12:15:00.140,-1.0,-0.992,-1.0,-1
12:15:00.342,-1.0,-0.992,-1.0,-1
12:15:00.544,-1.0,-0.992,-1.0,-1
12:15:00.746,-1.0,-0.992,-1.0,-1
12:15:00.947,-1.0,-0.992,-1.0,-1
12:15:01.149,-1.0,-0.992,-1.0,-1
12:15:01.351,-1.0,-0.992,-1.0,-1
12:15:01.553,-1.0,-0.992,-1.0,-1
12:15:01.755,-1.0,-0.992,-1.0,-1
12:15:01.957,-1.0,-0.992,-1.0,-1
12:15:02.159,-1.0,-0.992,-1.0,-1
12:15:02.360,-1.0,-0.991,-1.0,-1
12:15:02.562,-1.0,-0.991,-1.0,-1
12:15:02.764,-1.0,-0.991,-1.0,-1
12:15:02.966,-1.0,-0.991,-1.0,-1
12:15:03.167,-1.0,-0.991,-1.0,-1
12:15:03.370,-1.0,-0.991,-1.0,-1
12:15:03.571,-1.0,-0.991,-1.0,-1
12:15:03.774,-1.0,-0.991,-1.0,-1
12:15:03.975,-1.0,-0.991,-1.0,-1
12:15:04.177,-1.0,-0.991,-1.0,-1
12:15:04.379,-1.0,-0.99,-1.0,-1
12:15:04.581,-1.0,-0.99,-1.0,-1
12:15:04.783,-1.0,-0.99,-1.0,-1
12:15:04.985,-1.0,-0.99,-1.0,-1
12:15:05.188,-1.0,-0.99,-1.0,-1
12:15:05.390,-1.0,-0.99,-1.0,-1
12:15:05.592,-1.0,-0.99,-1.0,-1
12:15:05.795,-1.0,-0.99,-1.0,-1
12:15:06.006,-1.0,-0.99,-1.0,-1
12:15:06.208,-1.0,-0.989,-1.0,-1
12:15:06.410,-1.0,-0.989,-1.0,-1
12:15:06.612,-1.0,-0.988,-1.0,-1
12:15:06.814,-1.0,-0.988,-1.0,-1
