,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS
14:21:30.106,279075.0,0.25,0.1,1000.0,30.0
14:21:34.161,150308.0,0.25,0.1,1000.0,30.0
14:21:38.179,29845.0,0.25,0.1,1000.0,30.0
14:21:42.210,146874.0,0.25,0.1,1000.0,30.0
14:21:46.238,154556.0,0.25,0.1,1000.0,30.0
14:21:50.256,103029.0,0.25,0.1,1000.0,30.0
14:21:54.284,300000.0,0.25,0.1,1000.0,30.0
14:21:58.308,59253.0,0.25,0.1,1000.0,30.0
14:22:02.335,286785.0,0.25,0.1,1000.0,30.0
14:22:06.354,135256.0,0.25,0.1,1000.0,30.0
14:22:10.377,194592.0,0.25,0.1,1000.0,30.0
14:22:14.405,99348.0,0.25,0.1,1000.0,30.0
14:22:18.427,200.0,0.25,0.1,1000.0,30.0
14:22:22.466,300000.0,0.25,0.1,1000.0,30.0
14:22:26.490,259433.0,0.25,0.1,1000.0,30.0
14:22:30.007,200.0,0.25,0.1,1000.0,30.0
14:22:34.037,200.0,0.25,0.1,1000.0,30.0
14:22:38.076,138077.0,0.25,0.1,1000.0,30.0
14:22:42.097,76474.0,0.25,0.1,1000.0,30.0
14:22:46.120,198541.0,0.25,0.1,1000.0,30.0
14:22:50.141,76197.0,0.25,0.1,1000.0,30.0
14:22:54.193,185492.0,0.25,0.1,1000.0,30.0
14:22:58.210,52400.0,0.25,0.1,1000.0,30.0
14:23:02.242,300000.0,0.25,0.1,1000.0,30.0
14:23:06.269,255255.0,0.25,0.1,1000.0,30.0
14:23:10.290,129906.0,0.25,0.1,1000.0,30.0
14:23:14.308,52111.0,0.25,0.1,1000.0,30.0
14:23:18.339,300000.0,0.25,0.1,1000.0,30.0
14:23:22.351,200.0,0.25,0.1,1000.0,30.0
14:23:26.374,165762.0,0.25,0.1,1000.0,30.0
14:23:30.396,103376.0,0.25,0.1,1000.0,30.0
14:23:34.423,141259.0,0.25,0.1,1000.0,30.0
14:23:38.445,46879.0,0.25,0.1,1000.0,30.0
14:23:42.474,188662.0,0.25,0.1,1000.0,30.0
14:23:46.504,110535.0,0.25,0.1,1000.0,30.0
14:23:50.023,121384.0,0.25,0.1,1000.0,30.0
14:23:54.053,210097.0,0.25,0.1,1000.0,30.0
14:23:58.076,175736.0,0.25,0.1,1000.0,30.0
14:24:02.114,93631.0,0.25,0.1,1000.0,30.0
14:24:06.147,269392.0,0.25,0.1,1000.0,30.0
14:24:10.175,300000.0,0.25,0.1,1000.0,30.0
14:24:14.190,36642.0,0.25,0.1,1000.0,30.0
14:24:18.214,128761.0,0.25,0.1,1000.0,30.0
14:24:22.230,60159.0,0.25,0.1,1000.0,30.0
14:24:26.256,232308.0,0.25,0.1,1000.0,30.0
14:24:30.282,273678.0,0.25,0.1,1000.0,30.0
14:24:34.323,265010.0,0.25,0.1,1000.0,30.0
14:24:38.344,125143.0,0.25,0.1,1000.0,30.0
14:24:42.364,69633.0,0.25,0.1,1000.0,30.0
14:24:46.380,41740.0,0.25,0.1,1000.0,30.0
14:24:50.422,198510.0,0.25,0.1,1000.0,30.0
14:24:54.450,92966.0,0.25,0.1,1000.0,30.0
14:24:58.479,300000.0,0.25,0.1,1000.0,30.0
14:25:02.492,200.0,0.25,0.1,1000.0,30.0
14:25:06.017,191969.0,0.25,0.1,1000.0,30.0
14:25:10.047,142986.0,0.25,0.1,1000.0,30.0
14:25:14.066,89675.0,0.25,0.1,1000.0,30.0
14:25:18.085,31159.0,0.25,0.1,1000.0,30.0
14:25:22.115,264782.0,0.25,0.1,1000.0,30.0
14:25:26.132,27937.0,0.25,0.1,1000.0,30.0
14:25:30.166,206904.0,0.25,0.1,1000.0,30.0
14:25:34.193,169288.0,0.25,0.1,1000.0,30.0
14:25:38.221,110489.0,0.25,0.1,1000.0,30.0
14:25:42.257,167399.0,0.25,0.1,1000.0,30.0
14:25:46.285,273258.0,0.25,0.1,1000.0,30.0
14:25:50.323,300000.0,0.25,0.1,1000.0,30.0
14:25:54.354,300000.0,0.25,0.1,1000.0,30.0
14:25:58.376,173688.0,0.25,0.1,1000.0,30.0
14:26:02.403,300000.0,0.25,0.1,1000.0,30.0
14:26:06.433,300000.0,0.25,0.1,1000.0,30.0
14:26:10.451,200.0,0.25,0.1,1000.0,30.0
14:26:14.473,146897.0,0.25,0.1,1000.0,30.0
14:26:18.504,300000.0,0.25,0.1,1000.0,30.0
14:26:22.019,200.0,0.25,0.1,1000.0,30.0
14:26:26.067,279143.0,0.25,0.1,1000.0,30.0
