,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS
04:15:56.487,8582.0,0.25,0.1,1000.0,30.0
04:16:02.514,32887.0,0.25,0.1,1000.0,30.0
04:16:08.128,178086.0,0.25,0.1,1000.0,30.0
04:16:14.152,80688.0,0.25,0.1,1000.0,30.0
04:16:20.054,131642.0,0.25,0.1,1000.0,30.0
04:16:26.118,25943.0,0.25,0.1,1000.0,30.0
04:16:31.924,5400.0,0.25,0.1,1000.0,30.0
04:16:36.825,93852.0,0.25,0.1,1000.0,30.0
04:16:42.222,33799.0,0.25,0.1,1000.0,30.0
04:16:48.119,24479.0,0.25,0.1,1000.0,30.0
04:16:53.833,28560.0,0.25,0.1,1000.0,30.0
04:16:58.655,70875.0,0.25,0.1,1000.0,30.0
04:17:03.953,21949.0,0.25,0.1,1000.0,30.0
04:17:08.796,38618.0,0.25,0.1,1000.0,30.0
04:17:14.180,15388.0,0.25,0.1,1000.0,30.0
04:17:20.202,31770.0,0.25,0.1,1000.0,30.0
04:17:26.088,106163.0,0.25,0.1,1000.0,30.0
04:17:31.974,128709.0,0.25,0.1,1000.0,30.0
04:17:36.729,34785.0,0.25,0.1,1000.0,30.0
04:17:41.978,17457.0,0.25,0.1,1000.0,30.0
04:17:46.913,37386.0,0.25,0.1,1000.0,30.0
04:17:52.456,82437.0,0.25,0.1,1000.0,30.0
04:17:58.333,42973.0,0.25,0.1,1000.0,30.0
04:18:04.212,40475.0,0.25,0.1,1000.0,30.0
04:18:09.988,45364.0,0.25,0.1,1000.0,30.0
04:18:14.954,28224.0,0.25,0.1,1000.0,30.0
04:18:20.349,149074.0,0.25,0.1,1000.0,30.0
04:18:26.378,11600.0,0.25,0.1,1000.0,30.0
04:18:32.318,124216.0,0.25,0.1,1000.0,30.0
04:18:38.394,5840.0,0.25,0.1,1000.0,30.0
04:18:44.362,109950.0,0.25,0.1,1000.0,30.0
04:18:50.206,152848.0,0.25,0.1,1000.0,30.0
04:18:55.975,4693.0,0.25,0.1,1000.0,30.0
04:19:01.031,3390.0,0.25,0.1,1000.0,30.0
04:19:05.932,73044.0,0.25,0.1,1000.0,30.0
04:19:10.756,153266.0,0.25,0.1,1000.0,30.0
04:19:16.022,198671.0,0.25,0.1,1000.0,30.0
04:19:21.817,61308.0,0.25,0.1,1000.0,30.0
04:19:26.694,75842.0,0.25,0.1,1000.0,30.0
04:19:32.129,8633.0,0.25,0.1,1000.0,30.0
04:19:37.839,157334.0,0.25,0.1,1000.0,30.0
04:19:42.596,64575.0,0.25,0.1,1000.0,30.0
04:19:47.925,90022.0,0.25,0.1,1000.0,30.0
04:19:52.624,36225.0,0.25,0.1,1000.0,30.0
04:19:57.896,27157.0,0.25,0.1,1000.0,30.0
04:20:02.701,58777.0,0.25,0.1,1000.0,30.0
04:20:07.910,37154.0,0.25,0.1,1000.0,30.0
04:20:12.738,43927.0,0.25,0.1,1000.0,30.0
04:20:18.030,58234.0,0.25,0.1,1000.0,30.0
04:20:23.725,84889.0,0.25,0.1,1000.0,30.0
04:20:28.535,16941.0,0.25,0.1,1000.0,30.0
04:20:33.831,39596.0,0.25,0.1,1000.0,30.0
04:20:38.573,5485.0,0.25,0.1,1000.0,30.0
04:20:43.860,49610.0,0.25,0.1,1000.0,30.0
04:20:48.473,22974.0,0.25,0.1,1000.0,30.0
04:20:55.242,9325.0,0.25,0.1,1000.0,30.0
04:21:01.076,8711.0,0.25,0.1,1000.0,30.0
04:21:06.722,1601.0,0.25,0.1,1000.0,30.0
04:21:11.521,45282.0,0.25,0.1,1000.0,30.0
04:21:16.713,110558.0,0.25,0.1,1000.0,30.0
04:21:21.697,15634.0,0.25,0.1,1000.0,30.0
04:21:27.007,734.0,0.25,0.1,1000.0,30.0
04:21:32.603,3528.0,0.25,0.1,1000.0,30.0
04:21:37.397,10389.0,0.25,0.1,1000.0,30.0
04:21:43.121,44886.0,0.25,0.1,1000.0,30.0
04:21:48.913,4204.0,0.25,0.1,1000.0,30.0
04:21:53.591,1715.0,0.25,0.1,1000.0,30.0
04:21:58.905,194406.0,0.25,0.1,1000.0,30.0
04:22:03.947,36714.0,0.25,0.1,1000.0,30.0
04:22:09.213,87790.0,0.25,0.1,1000.0,30.0
04:22:15.144,133223.0,0.25,0.1,1000.0,30.0
04:22:20.920,30097.0,0.25,0.1,1000.0,30.0
04:22:25.566,101599.0,0.25,0.1,1000.0,30.0
04:22:30.813,76525.0,0.25,0.1,1000.0,30.0
04:22:35.541,27147.0,0.25,0.1,1000.0,30.0
04:22:40.913,49181.0,0.25,0.1,1000.0,30.0
04:22:45.709,1062.0,0.25,0.1,1000.0,30.0
04:22:51.044,77996.0,0.25,0.1,1000.0,30.0
04:22:56.940,110218.0,0.25,0.1,1000.0,30.0
04:23:01.893,5751.0,0.25,0.1,1000.0,30.0
04:23:07.156,72055.0,0.25,0.1,1000.0,30.0
04:23:12.969,60546.0,0.25,0.1,1000.0,30.0
04:23:17.732,6628.0,0.25,0.1,1000.0,30.0
04:23:23.062,91472.0,0.25,0.1,1000.0,30.0
04:23:28.713,15175.0,0.25,0.1,1000.0,30.0
04:23:33.568,29107.0,0.25,0.1,1000.0,30.0
04:23:38.746,141924.0,0.25,0.1,1000.0,30.0
04:23:43.250,58672.0,0.25,0.1,1000.0,30.0
