,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS
03:33:24.001,27836.0,0.25,0.1,1000.0,30.0
03:33:29.539,73403.0,0.25,0.1,1000.0,30.0
03:33:34.109,5709.0,0.25,0.1,1000.0,30.0
03:33:39.719,86295.0,0.25,0.1,1000.0,30.0
03:33:44.414,124902.0,0.25,0.1,1000.0,30.0
03:33:50.025,31831.0,0.25,0.1,1000.0,30.0
03:33:55.560,55523.0,0.25,0.1,1000.0,30.0
03:34:00.146,1733.0,0.25,0.1,1000.0,30.0
03:34:05.606,42607.0,0.25,0.1,1000.0,30.0
03:34:10.193,1144.0,0.25,0.1,1000.0,30.0
03:34:15.800,23818.0,0.25,0.1,1000.0,30.0
03:34:20.408,22625.0,0.25,0.1,1000.0,30.0
03:34:25.985,17831.0,0.25,0.1,1000.0,30.0
03:34:30.577,6758.0,0.25,0.1,1000.0,30.0
03:34:35.614,179559.0,0.25,0.1,1000.0,30.0
03:34:40.251,56340.0,0.25,0.1,1000.0,30.0
03:34:45.859,23831.0,0.25,0.1,1000.0,30.0
03:34:50.429,6009.0,0.25,0.1,1000.0,30.0
03:34:55.994,57795.0,0.25,0.1,1000.0,30.0
03:35:00.703,223512.0,0.25,0.1,1000.0,30.0
03:35:05.824,110317.0,0.25,0.1,1000.0,30.0
03:35:10.461,91142.0,0.25,0.1,1000.0,30.0
03:35:16.104,17832.0,0.25,0.1,1000.0,30.0
03:35:21.751,92197.0,0.25,0.1,1000.0,30.0
03:35:26.350,40479.0,0.25,0.1,1000.0,30.0
