id,name,description,1:enumVals,1:minValue,1:maxValue,1:increment,1:empty/reserved,1:description,2:enumVals,2:minValue,2:maxValue,2:increment,2:empty/reserved,2:description,3:enumVals,3:minValue,3:maxValue,3:increment,3:empty/reserved,3:description,4:enumVals,4:minValue,4:maxValue,4:increment,4:empty/reserved,4:description,5:enumVals,5:minValue,5:maxValue,5:increment,5:empty/reserved,5:description,6:enumVals,6:minValue,6:maxValue,6:increment,6:empty/reserved,6:description,7:enumVals,7:minValue,7:maxValue,7:increment,7:empty/reserved,7:description
16,MAV_CMD_NAV_WAYPOINT,Navigate to waypoint.,,0,,,no,"Hold time. (ignored by fixed wing, time to stay at waypoint for rotary wing)",,0,,,no,"Acceptance radius (if the sphere with this radius is hit, the waypoint counts as reached)",,,,,no,"0 to pass through the WP, if > 0 radius to pass by WP. Positive value for clockwise orbit, negative value for counter-clockwise orbit. Allows trajectory control.",,,,,no,"Desired yaw angle at waypoint (rotary wing). NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.).",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
17,MAV_CMD_NAV_LOITER_UNLIM,Loiter around this waypoint an unlimited amount of time,,,,,yes,Empty,,,,,yes,Empty,,,,,no,"Loiter radius around waypoint for forward-only moving vehicles (not multicopters). If positive loiter clockwise, else counter-clockwise",,,,,no,"Desired yaw angle. NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.).",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
18,MAV_CMD_NAV_LOITER_TURNS,Loiter around this waypoint for X turns,,0,,,no,Number of turns.,,0,1,1,no,Leave loiter circle only once heading towards the next waypoint (0 = False),,,,,no,"Loiter radius around waypoint for forward-only moving vehicles (not multicopters). If positive loiter clockwise, else counter-clockwise",,,,,no,"Loiter circle exit location and/or path to next waypoint (""xtrack"") for forward-only moving vehicles (not multicopters). 0 for the vehicle to converge towards the center xtrack when it leaves the loiter (the line between the centers of the current and next waypoint), 1 to converge to the direct line between the location that the vehicle exits the loiter radius and the next waypoint. Otherwise the angle (in degrees) between the tangent of the loiter circle and the center xtrack at which the vehicle must leave the loiter (and converge to the center xtrack). NaN to use the current system default xtrack behaviour.",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
19,MAV_CMD_NAV_LOITER_TIME,"Loiter at the specified latitude, longitude and altitude for a certain amount of time. Multicopter vehicles stop at the point (within a vehicle-specific acceptance radius). Forward-only moving vehicles (e.g. fixed-wing) circle the point with the specified radius/direction. If the Heading Required parameter (2) is non-zero forward moving aircraft will only leave the loiter circle once heading towards the next waypoint.",,0,,,no,"Loiter time (only starts once Lat, Lon and Alt is reached).",,0,1,1,no,Leave loiter circle only once heading towards the next waypoint (0 = False),,,,,no,"Loiter radius around waypoint for forward-only moving vehicles (not multicopters). If positive loiter clockwise, else counter-clockwise.",,,,,no,"Loiter circle exit location and/or path to next waypoint (""xtrack"") for forward-only moving vehicles (not multicopters). 0 for the vehicle to converge towards the center xtrack when it leaves the loiter (the line between the centers of the current and next waypoint), 1 to converge to the direct line between the location that the vehicle exits the loiter radius and the next waypoint. Otherwise the angle (in degrees) between the tangent of the loiter circle and the center xtrack at which the vehicle must leave the loiter (and converge to the center xtrack). NaN to use the current system default xtrack behaviour.",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
20,MAV_CMD_NAV_RETURN_TO_LAUNCH,Return to launch location,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
21,MAV_CMD_NAV_LAND,Land at location.,,,,,no,Minimum target altitude if landing is aborted (0 = undefined/use system default).,0|1|2,,,,no,Precision land mode.,,,,,yes,Empty.,,,,,no,"Desired yaw angle. NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.).",,,,,no,Latitude.,,,,,no,Longitude.,,,,,no,Landing altitude (ground level in current frame).
22,MAV_CMD_NAV_TAKEOFF,Takeoff from ground / hand. Vehicles that support multiple takeoff modes (e.g. VTOL quadplane) should take off using the currently configured mode.,,,,,no,"Minimum pitch (if airspeed sensor present), desired pitch without sensor",,,,,yes,Empty,,,,,yes,Empty,,,,,no,"Yaw angle (if magnetometer present), ignored without magnetometer. NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.).",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
23,MAV_CMD_NAV_LAND_LOCAL,Land at local position (local frame only),,0,,1,no,Landing target number (if available),,0,,,no,"Maximum accepted offset from desired landing position - computed magnitude from spherical coordinates: d = sqrt(x^2 + y^2 + z^2), which gives the maximum accepted distance between the desired landing position and the position where the vehicle is about to land",,,,,no,Landing descend rate,,,,,no,Desired yaw angle,,,,,no,Y-axis position,,,,,no,X-axis position,,,,,no,Z-axis / ground level position
24,MAV_CMD_NAV_TAKEOFF_LOCAL,Takeoff from local position (local frame only),,,,,no,"Minimum pitch (if airspeed sensor present), desired pitch without sensor",,,,,yes,Empty,,,,,no,Takeoff ascend rate,,,,,no,"Yaw angle (if magnetometer or another yaw estimation source present), ignored without one of these",,,,,no,Y-axis position,,,,,no,X-axis position,,,,,no,Z-axis position
25,MAV_CMD_NAV_FOLLOW,"Vehicle following, i.e. this waypoint represents the position of a moving vehicle",,,,1,no,Following logic to use (e.g. loitering or sinusoidal following) - depends on specific autopilot implementation,,,,,no,Ground speed of vehicle to be followed,,,,,no,"Radius around waypoint. If positive loiter clockwise, else counter-clockwise",,,,,no,Desired yaw angle.,,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
