,A.RTL1,A.RTL2,A.RTL3,A.RTL4,A.FLIP1,A.FLIP2,A.FLIP3,A.FLIPGeneral,A.ALTHOLD1,A.ALTHOLD2,A.CIRCLE1,A.CIRCLE2,A.CIRCLE3,A.CIRCLE4,A.CIRCLE5,A.CIRCLE6,A.CIRCLE7,A.LAND1,A.LAND2,A.AUTO1,A.BRAKE1,A.DRIFT1,A.LOITER1,A.GUIDED1,A.SPORT1,A.RC.FS1,A.RC.FS2,A.CHUTE1,A.GPS.FS1,A.GPS.FS2
0,"('MAV_CMD_OBLIQUE_SURVEY', 0.03720399796576934)","('MAV_CMD_GET_HOME_POSITION', 0.0989170600860596)","('MAV_CMD_DO_SET_HOME', 0.08176159295394925)","('MAV_CMD_NAV_VTOL_LAND', 0.056172308147880434)","('MAV_CMD_NAV_VTOL_LAND', 0.01846721199969792)","('MAV_CMD_DO_ADSB_OUT_IDENT', 0.018196557533855517)","('MAV_CMD_NAV_ROI', 0.029588455830954596)","('MAV_CMD_NAV_DELAY', 0.034239144635277)","('MAV_CMD_DO_FOLLOW_REPOSITION', 0.1018906858904538)","('MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT', 0.01656007690767458)","('MAV_CMD_PREFLIGHT_CALIBRATION', 0.06225751911846933)","('MAV_CMD_SET_GUIDED_SUBMODE_CIRCLE', 0.13409961301619755)","('MAV_CMD_NAV_FOLLOW', 0.027283268073890588)","('MAV_CMD_NAV_FOLLOW', 0.019145985529885112)","('MAV_CMD_NAV_FOLLOW', 0.019145985529885112)","('MAV_CMD_NAV_FOLLOW', 0.02372833635453686)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.03924891105238826)","('MAV_CMD_DO_GIMBAL_MANAGER_PITCHYAW', 0.03340357794549531)","('MAV_CMD_DO_GIMBAL_MANAGER_PITCHYAW', 0.03340357794549531)","('MAV_CMD_NAV_VTOL_TAKEOFF', 0.05047089119395631)","('MAV_CMD_VIDEO_STOP_STREAMING', 0.050772640204792774)","('MAV_CMD_NAV_VTOL_LAND', 0.041066952041232674)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.03582505485034693)","('MAV_CMD_NAV_LOITER_TIME', 0.062318477477203094)","('MAV_CMD_PREFLIGHT_STORAGE', 0.0051066766595117)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.03479423348255695)","('MAV_CMD_DO_FLIGHTTERMINATION', 0.03767054603678499)","('MAV_CMD_DO_FOLLOW', 0.05561958005660783)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.06200151093396711)","('MAV_CMD_DO_GIMBAL_MANAGER_CONFIGURE', 0.2826807324165914)"
1,"('MAV_CMD_DO_CHANGE_ALTITUDE', 0.02723299662408807)","('MAV_CMD_DO_SET_HOME', 0.09313860178252353)","('MAV_CMD_GET_HOME_POSITION', 0.08147593638725015)","('MAV_CMD_NAV_LAND', 0.036686490441320885)","('MAV_CMD_DO_CHANGE_SPEED', 0.014417708021622344)","('MAV_CMD_UAVCAN_GET_NODE_INFO', 0.012108765183850179)","('MAV_CMD_DO_SET_ROI', 0.029588455830954596)","('MAV_CMD_NAV_RETURN_TO_LAUNCH', 0.023605566706596304)","('MAV_CMD_ILLUMINATOR_ON_OFF', 0.051229145200066384)","('MAV_CMD_REQUEST_MESSAGE', 0.01400815284055068)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.0005214264195008145)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.0014599454976504944)","('MAV_CMD_DO_CHANGE_SPEED', 0.026184600462780483)","('MAV_CMD_DO_CHANGE_SPEED', 0.018374997460292475)","('MAV_CMD_DO_CHANGE_SPEED', 0.018374997460292475)","('MAV_CMD_DO_CHANGE_SPEED', 0.022772821987722347)","('MAV_CMD_FIXED_MAG_CAL_YAW', 0.024515872344944456)","('MAV_CMD_NAV_PAYLOAD_PLACE', 0.022942998170079387)","('MAV_CMD_NAV_PAYLOAD_PLACE', 0.022942998170079387)","('MAV_CMD_FIXED_MAG_CAL_YAW', 0.029411094454477982)","('MAV_CMD_NAV_DELAY', 0.048058113879467235)","('MAV_CMD_NAV_LAND', 0.02905101531968468)","('MAV_CMD_NAV_RETURN_TO_LAUNCH', 0.033044034650898224)","('MAV_CMD_NAV_FENCE_RETURN_POINT', 0.05103836775795734)","('MAV_CMD_NAV_VTOL_LAND', 0.004369367665022272)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.03380793504024593)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.029686712136625215)","('MAV_CMD_NAV_FOLLOW', 0.04246764018321758)","('MAV_CMD_NAV_PAYLOAD_PLACE', 0.0340199185906066)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.03567983811407227)"
2,"('MAV_CMD_CONDITION_CHANGE_ALT', 0.010020210359837911)","('MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT', 0.07055242578219945)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.021849441076558396)","('MAV_CMD_NAV_LAND_LOCAL', 0.013447567246649084)","('MAV_CMD_REQUEST_FLIGHT_INFORMATION', 0.014293526959434977)","('MAV_CMD_NAV_VTOL_LAND', 0.00501745786531671)","('MAV_CMD_NAV_DELAY', 0.025790223435156134)","('MAV_CMD_CONDITION_DISTANCE', 0.020561590024173793)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.011176794888502872)","('MAV_CMD_DO_CHANGE_SPEED', 0.01010357463685696)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0005048001282036418)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0014133934277625881)","('MAV_CMD_NAV_SET_YAW_SPEED', 0.020363751949369124)","('MAV_CMD_NAV_SET_YAW_SPEED', 0.014290227222812146)","('MAV_CMD_NAV_SET_YAW_SPEED', 0.014290227222812146)","('MAV_CMD_NAV_SET_YAW_SPEED', 0.01771041337080126)","('MAV_CMD_DO_CHANGE_SPEED', 0.018677364707239907)","('MAV_CMD_PREFLIGHT_STORAGE', 0.009130544177565314)","('MAV_CMD_PREFLIGHT_STORAGE', 0.009130544177565314)","('MAV_CMD_DO_CHANGE_SPEED', 0.006831335109973025)","('MAV_CMD_VIDEO_STOP_CAPTURE', 0.04096665706548852)","('MAV_CMD_FIXED_MAG_CAL_YAW', 0.025958591365100037)","('MAV_CMD_NAV_LOITER_TIME', 0.029775553085379936)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.041089960544351545)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.002539030577417223)","('MAV_CMD_DO_FLIGHTTERMINATION', 0.026280769060772813)","('MAV_CMD_SET_GUIDED_SUBMODE_CIRCLE', 0.018834045163883206)","('MAV_CMD_NAV_TAKEOFF', 0.03577306793733426)","('MAV_CMD_NAV_DELAY', 0.019224151132916978)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.03290108705170436)"
3,"('MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT', 0.007904727212980966)","('MAV_CMD_OVERRIDE_GOTO', 0.04269836905480595)","('MAV_CMD_NAV_FOLLOW', 0.012881667477459335)","('MAV_CMD_NAV_VTOL_TAKEOFF', 0.010494698003568947)","('MAV_CMD_NAV_VTOL_TAKEOFF', 0.014196124338674676)","('MAV_CMD_REQUEST_FLIGHT_INFORMATION', 0.0038834865418183595)","('MAV_CMD_DO_SET_ROI_LOCATION', 0.025552852523343272)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.013695800909713896)","('MAV_CMD_CONDITION_CHANGE_ALT', 0.0041124316019082174)","('MAV_CMD_DO_SET_ACTUATOR', 0.008598100300738154)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0004904907576472883)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0013733285205452805)","('MAV_CMD_DO_SET_REVERSE', 0.018686464457716268)","('MAV_CMD_DO_SET_REVERSE', 0.013113193666653311)","('MAV_CMD_DO_SET_REVERSE', 0.013113193666653311)","('MAV_CMD_DO_SET_REVERSE', 0.016251671637317888)","('MAV_CMD_DO_MOUNT_CONTROL', 0.009222078414775625)","('MAV_CMD_RUN_PREARM_CHECKS', 0.008111439216468175)","('MAV_CMD_RUN_PREARM_CHECKS', 0.008111439216468175)","('MAV_CMD_OBLIQUE_SURVEY', 0.0007522906250184702)","('MAV_CMD_IMAGE_STOP_CAPTURE', 0.029368444780854874)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.021021706742884727)","('MAV_CMD_SET_STORAGE_USAGE', 0.009883731294817788)","('MAV_CMD_CAMERA_TRACK_POINT', 0.038218249149269634)","('MAV_CMD_NAV_LOITER_TIME', 0.002110283991443973)","('MAV_CMD_SET_GUIDED_SUBMODE_CIRCLE', 0.011581410538156867)","('MAV_CMD_DO_CHANGE_SPEED', 0.018487191290044502)","('MAV_CMD_DO_SET_SERVO', 0.030455268682176406)","('MAV_CMD_DO_REPEAT_RELAY', 0.009340411270349125)","('MAV_CMD_ILLUMINATOR_ON_OFF', 0.031209830972670938)"
4,"('MAV_CMD_VIDEO_STOP_CAPTURE', 0.00349713728454748)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.016621927520738544)","('MAV_CMD_PANORAMA_CREATE', 0.010414514074664094)","('MAV_CMD_REQUEST_FLIGHT_INFORMATION', 0.010011778960278161)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.011718883324656981)","('MAV_CMD_NAV_VTOL_TAKEOFF', 0.0038570226908783978)","('MAV_CMD_CONDITION_DISTANCE', 0.0154877701109144)","('MAV_CMD_NAV_FENCE_RETURN_POINT', 0.011014806597663185)","('MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT', 0.002858333337201091)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.008212304768117185)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.00037805227433707067)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.0010585112206690228)","('MAV_CMD_NAV_LOITER_TIME', 0.011900899698684908)","('MAV_CMD_NAV_LOITER_TIME', 0.008351435495430493)","('MAV_CMD_NAV_LOITER_TIME', 0.008351435495430493)","('MAV_CMD_NAV_LOITER_TIME', 0.010350246539645336)","('MAV_CMD_NAV_ROI', 0.008334226475934958)","('MAV_CMD_NAV_DELAY', 0.007966067026973445)","('MAV_CMD_NAV_DELAY', 0.007966067026973445)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.0004738727503800222)","('MAV_CMD_CONDITION_DISTANCE', 0.028860278066250356)","('MAV_CMD_DO_SET_HOME', 0.01880139822286797)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.00954485541336636)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.03794705750454008)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.0010952340079262157)","('MAV_CMD_DO_CHANGE_SPEED', 0.007897541697534205)","('MAV_CMD_NAV_VTOL_LAND', 0.014438836396500676)","('MAV_CMD_DO_FLIGHTTERMINATION', 0.024997826949774926)","('MAV_CMD_DO_JUMP', 0.007326104937956712)","('MAV_CMD_NAV_ROI', 0.02804318814557627)"
5,"('MAV_CMD_SET_GUIDED_SUBMODE_STANDARD', 0.0031330541355472086)","('MAV_CMD_VIDEO_STOP_CAPTURE', 0.009859073403685858)","('MAV_CMD_NAV_LAND_LOCAL', 0.01020510560223653)","('MAV_CMD_WAYPOINT_USER_1', 0.007475462148215706)","('MAV_CMD_DO_FLIGHTTERMINATION', 0.009979899653764668)","('MAV_CMD_DO_FLIGHTTERMINATION', 0.0028282564182365855)","('MAV_CMD_DO_SET_ROI_WPNEXT_OFFSET', 0.013757470598330546)","('MAV_CMD_STORAGE_FORMAT', 0.008653043796358117)","('MAV_CMD_SET_GUIDED_SUBMODE_STANDARD', 0.001423572259150574)","('MAV_CMD_VIDEO_STOP_CAPTURE', 0.003163760227317014)","('MAV_CMD_SET_CAMERA_ZOOM', 0.0003467428941009709)","('MAV_CMD_SET_CAMERA_ZOOM', 0.00097084786683721)","('MAV_CMD_OBLIQUE_SURVEY', 0.0016219913656886353)","('MAV_CMD_OBLIQUE_SURVEY', 0.0011382295967244938)","('MAV_CMD_OBLIQUE_SURVEY', 0.0011382295967244938)","('MAV_CMD_OBLIQUE_SURVEY', 0.00141065053442202)","('MAV_CMD_DO_SET_ROI', 0.008334226475934958)","('MAV_CMD_NAV_LOITER_TIME', 0.005919586804154386)","('MAV_CMD_NAV_LOITER_TIME', 0.005919586804154386)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0004587627634461411)","('MAV_CMD_LOGGING_STOP', 0.021036101797069495)","('MAV_CMD_NAV_LAND_LOCAL', 0.010648755915198649)","('MAV_CMD_NAV_PAYLOAD_PLACE', 0.007686536923552145)","('MAV_CMD_NAV_RETURN_TO_LAUNCH', 0.03500131090706504)","('MAV_CMD_WAYPOINT_USER_1', 0.0007298409351911284)","('MAV_CMD_SET_GUIDED_SUBMODE_STANDARD', 0.006962957882017395)","('MAV_CMD_SET_GUIDED_SUBMODE_STANDARD', 0.009487069176729812)","('MAV_CMD_NAV_LOITER_TIME', 0.02213615670082525)","('MAV_CMD_DO_REPEAT_SERVO', 0.006740618155213207)","('MAV_CMD_DO_SET_ROI', 0.02804318814557627)"
6,"('MAV_CMD_NAV_LOITER_TO_ALT', 0.003128013123281259)","('MAV_CMD_NAV_FOLLOW', 0.009399751490316688)","('MAV_CMD_NAV_TAKEOFF_LOCAL', 0.010037909377283327)","('MAV_CMD_WAYPOINT_USER_2', 0.007475462148215706)","('MAV_CMD_PREFLIGHT_CALIBRATION', 0.00746330461421707)","('MAV_CMD_VIDEO_STOP_CAPTURE', 0.0024532235735270636)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.01039727791303291)","('MAV_CMD_DO_SET_HOME', 0.008520231313429938)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.0010108499507859303)","('MAV_CMD_CONDITION_CHANGE_ALT', 0.00302166604915044)","('MAV_CMD_SET_CAMERA_FOCUS', 0.0003467428941009709)","('MAV_CMD_SET_CAMERA_FOCUS', 0.00097084786683721)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.0010217028951179374)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.000716978215102082)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.000716978215102082)","('MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION', 0.000888577932969925)","('MAV_CMD_DO_SET_ROI_LOCATION', 0.00728216074802035)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.0058309800755984575)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.0058309800755984575)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0004457583959492917)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0192234463448423)","('MAV_CMD_DO_FLIGHTTERMINATION', 0.008912526636822404)","('MAV_CMD_CONDITION_CHANGE_ALT', 0.0035119697041188225)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.029791649320499047)","('MAV_CMD_WAYPOINT_USER_2', 0.0007298409351911284)","('MAV_CMD_NAV_VTOL_LAND', 0.005057862754124676)","('MAV_CMD_PREFLIGHT_STORAGE', 0.008437659001184428)","('MAV_CMD_DO_PARACHUTE', 0.019976637925690488)","('MAV_CMD_NAV_VTOL_LAND', 0.005362626670656456)","('MAV_CMD_DO_SET_CAM_TRIGG_DIST', 0.026790610198134668)"
7,"('MAV_CMD_NAV_LOITER_TIME', 0.0020470941574818324)","('MAV_CMD_PANORAMA_CREATE', 0.008865962825799989)","('MAV_CMD_DO_CHANGE_ALTITUDE', 0.009747535049853262)","('MAV_CMD_WAYPOINT_USER_3', 0.007475462148215706)","('MAV_CMD_NAV_FENCE_RETURN_POINT', 0.007394902032019979)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.0023927467207743858)","('MAV_CMD_REQUEST_MESSAGE', 0.008760698369388198)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.007992177691339752)","('MAV_CMD_NAV_LOITER_TIME', 0.0008401554860616445)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.0014638133636813988)","('MAV_CMD_DO_SET_MISSION_CURRENT', 5.3495840206641e-05)","('MAV_CMD_DO_SET_MISSION_CURRENT', 0.00014978337907667338)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0009891247032233208)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0006941165260655469)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0006941165260655469)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.0008602445862093688)","('MAV_CMD_DO_GUIDED_LIMITS', 0.0065577087279178325)","('MAV_CMD_DO_JUMP', 0.0030357773708132862)","('MAV_CMD_DO_JUMP', 0.0030357773708132862)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.00034357421167685587)","('MAV_CMD_NAV_VTOL_LAND', 0.007540838516894688)","('MAV_CMD_NAV_VTOL_TAKEOFF', 0.003061110569496872)","('MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT', 0.002440984083447173)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION', 0.020307539815521913)","('MAV_CMD_WAYPOINT_USER_3', 0.0007298409351911284)","('MAV_CMD_DO_SET_ROI_NONE', 0.004636141152339346)","('MAV_CMD_DO_SET_ROI_NONE', 0.006463622484539466)","('MAV_CMD_DO_SET_ACTUATOR', 0.009837022127001771)","('MAV_CMD_DO_SET_MISSION_CURRENT', 0.005048125748845833)","('MAV_CMD_PREFLIGHT_SET_SENSOR_OFFSETS', 0.022108234808218774)"
8,"('MAV_CMD_DO_PAUSE_CONTINUE', 0.0016180607643867528)","('MAV_CMD_NAV_LAND_LOCAL', 0.006698233801404774)","('MAV_CMD_NAV_VTOL_LAND', 0.007680330593503704)","('MAV_CMD_WAYPOINT_USER_4', 0.007475462148215706)","('MAV_CMD_DO_PAUSE_CONTINUE', 0.006717874676246738)","('MAV_CMD_DO_SET_ROI_NONE', 0.0011230459499267376)","('MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT', 0.008511253265731988)","('MAV_CMD_RUN_PREARM_CHECKS', 0.007140141536412736)","('MAV_CMD_WAYPOINT_USER_1', 0.0007354988907785076)","('MAV_CMD_NAV_LOITER_TO_ALT', 0.0013443521506694145)","('MAV_CMD_NAV_WAYPOINT', 0.0)","('MAV_CMD_NAV_WAYPOINT', 0.0)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0009610863745580511)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0006744406780897494)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0006744406780897494)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.0008358595714967887)","('MAV_CMD_DO_INVERTED_FLIGHT', 0.00571683486018193)","('MAV_CMD_CONDITION_CHANGE_ALT', 0.0026266710441346097)","('MAV_CMD_CONDITION_CHANGE_ALT', 0.0026266710441346097)","('MAV_CMD_SET_CAMERA_ZOOM', 0.0003151202216788995)","('MAV_CMD_DO_ADSB_OUT_IDENT', 0.007335908957442738)","('MAV_CMD_REQUEST_FLIGHT_INFORMATION', 0.002642683455167716)","('MAV_CMD_SET_GUIDED_SUBMODE_STANDARD', 0.0013333291383771373)","('MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION', 0.019731889976957184)","('MAV_CMD_WAYPOINT_USER_4', 0.0007298409351911284)","('MAV_CMD_WAYPOINT_USER_1', 0.0016896885616147772)","('MAV_CMD_SET_CAMERA_MODE', 0.005891953677792938)","('MAV_CMD_WAYPOINT_USER_1', 0.0061506148348519085)","('MAV_CMD_DO_SET_CAM_TRIGG_DIST', 0.004284532631854576)","('MAV_CMD_DO_SET_CAM_TRIGG_INTERVAL', 0.021098740746224864)"
9,"('MAV_CMD_PANORAMA_CREATE', 0.001440332717193682)","('MAV_CMD_NAV_TAKEOFF_LOCAL', 0.006588492712081506)","('MAV_CMD_VIDEO_STOP_CAPTURE', 0.007510404101131463)","('MAV_CMD_WAYPOINT_USER_5', 0.007475462148215706)","('MAV_CMD_VIDEO_STOP_CAPTURE', 0.00451465672767748)","('MAV_CMD_PANORAMA_CREATE', 0.0010103858922424491)","('MAV_CMD_DO_SET_ROI_NONE', 0.007332460846542932)","('MAV_CMD_NAV_PAYLOAD_PLACE', 0.005491008044524404)","('MAV_CMD_WAYPOINT_USER_2', 0.0007354988907785076)","('MAV_CMD_PANORAMA_CREATE', 0.001303027875083962)","('MAV_CMD_NAV_LOITER_UNLIM', 0.0)","('MAV_CMD_NAV_LOITER_UNLIM', 0.0)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.0007407701043723458)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.0005198341218094482)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.0005198341218094482)","('MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION', 0.0006442498805615537)","('MAV_CMD_DO_SET_ROI_WPNEXT_OFFSET', 0.003920662567581723)","('MAV_CMD_REQUEST_MESSAGE', 0.0018791657457242206)","('MAV_CMD_REQUEST_MESSAGE', 0.0018791657457242206)","('MAV_CMD_SET_CAMERA_FOCUS', 0.0003151202216788995)","('MAV_CMD_NAV_LOITER_TIME', 0.006474696680978997)","('MAV_CMD_WAYPOINT_USER_1', 0.0011406350142169064)","('MAV_CMD_WAYPOINT_USER_1', 0.0012562153352915217)","('MAV_CMD_SET_STORAGE_USAGE', 0.01046916805488829)","('MAV_CMD_WAYPOINT_USER_5', 0.0007298409351911284)","('MAV_CMD_WAYPOINT_USER_2', 0.0016896885616147772)","('MAV_CMD_DO_INVERTED_FLIGHT', 0.00565862589773225)","('MAV_CMD_WAYPOINT_USER_2', 0.0061506148348519085)","('MAV_CMD_DO_SET_CAM_TRIGG_INTERVAL', 0.003374250998752326)","('MAV_CMD_PREFLIGHT_CALIBRATION', 0.011101367783460936)"
